Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.026395
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.037650
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2997.451629
seq-perfmon,BaseStrainMapping applyJ,CPI,0.474950
seq-perfmon,BaseStrainMapping applyJ,L3 Load [MBytes/s],4005.424428
seq-perfmon,BaseStrainMapping applyJ,L3 Evict [MBytes/s],274.891863
seq-perfmon,BaseStrainMapping applyJ,L3 bandwidth [MBytes/s],4280.316291
seq-perfmon,BaseStrainMapping applyJ,L3 data volume [GBytes],0.112978
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.220486
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.244321
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.737990
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.412152
seq-perfmon,BaseDeformationMapping applyJ,L3 Load [MBytes/s],3426.439103
seq-perfmon,BaseDeformationMapping applyJ,L3 Evict [MBytes/s],349.289003
seq-perfmon,BaseDeformationMapping applyJ,L3 bandwidth [MBytes/s],3775.728106
seq-perfmon,BaseDeformationMapping applyJ,L3 data volume [GBytes],0.832496
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.016927
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.028932
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],3002.725571
seq-perfmon,BaseStrainMapping applyJT,CPI,0.581419
seq-perfmon,BaseStrainMapping applyJT,L3 Load [MBytes/s],5903.882945
seq-perfmon,BaseStrainMapping applyJT,L3 Evict [MBytes/s],854.629665
seq-perfmon,BaseStrainMapping applyJT,L3 bandwidth [MBytes/s],6758.512609
seq-perfmon,BaseStrainMapping applyJT,L3 data volume [GBytes],0.114404
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001263
