Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.739395
seq,Full,Througput [FPS],135.246
seq,Full,Runtime (RDTSC) [s],4.323001
seq,Full,Runtime unhalted [s],2.753660
seq,Full,Clock [MHz],2992.709667
seq,Full,CPI,0.592778
seq,Full,L3 Load [MBytes/s],1002.199186
seq,Full,L3 Evict [MBytes/s],102.886151
seq,Full,L3 bandwidth [MBytes/s],1105.085338
seq,Full,L3 data volume [GBytes],4.777285
seq,Full,Runtime (RDTSC) [s],4.323001
seq,Full,Runtime unhalted [s],2.753660
seq,Full,Clock [MHz],2992.709667
seq,Full,CPI,0.592778
seq,Full,L3 Load [MBytes/s],1002.199186
seq,Full,L3 Evict [MBytes/s],102.886151
seq,Full,L3 bandwidth [MBytes/s],1105.085338
seq,Full,L3 data volume [GBytes],4.777285
seq,Full,Runtime (RDTSC) [s],4.323001
seq,Full,Runtime unhalted [s],2.753660
seq,Full,Clock [MHz],2992.709667
seq,Full,CPI,0.592778
seq,Full,L3 Load [MBytes/s],1002.199186
seq,Full,L3 Evict [MBytes/s],102.886151
seq,Full,L3 bandwidth [MBytes/s],1105.085338
seq,Full,L3 data volume [GBytes],4.777285
