Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.737887
seq,Full,Througput [FPS],135.522
seq,Full,INSTR_RETIRED_ANY,13909079420.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8234722571.000000
seq,Full,CPU_CLK_UNHALTED_REF,8234764170.000000
seq,Full,L2_LINES_IN_ALL,70920690.000000
seq,Full,L2_LINES_OUT_DIRTY_ALL,6830410.000000
seq,Full,INSTR_RETIRED_ANY,13909079420.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8234722571.000000
seq,Full,CPU_CLK_UNHALTED_REF,8234764170.000000
seq,Full,L2_LINES_IN_ALL,70920690.000000
seq,Full,L2_LINES_OUT_DIRTY_ALL,6830410.000000
seq,Full,INSTR_RETIRED_ANY,13909079420.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8234722571.000000
seq,Full,CPU_CLK_UNHALTED_REF,8234764170.000000
seq,Full,L2_LINES_IN_ALL,70920690.000000
seq,Full,L2_LINES_OUT_DIRTY_ALL,6830410.000000
