Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.750027,0.187507,0.187507,0.187507
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.074203,0.029734,0.014756,0.018551
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11991.230877,3001.644614,2992.819598,2997.807719
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.478232,1.264872,0.733811,0.869558
openmp-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],0.660115,0.660115,0.000000,0.165029
openmp-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],0.311285,0.311285,0.000000,0.077821
openmp-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],0.971399,0.971399,0.000000,0.242850
openmp-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.000182,0.000182,0.000000,0.000046
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],1.701122,0.425281,0.425281,0.425281
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.323429,0.104150,0.072010,0.080857
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11982.985944,2997.816952,2993.660246,2995.746486
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.153157,0.660474,0.493317,0.538289
openmp-perfmon,BaseDeformationMapping applyJ,Memory Read BW [MBytes/s],0.897064,0.897064,0.000000,0.224266
openmp-perfmon,BaseDeformationMapping applyJ,Memory Write BW [MBytes/s],0.369450,0.369450,0.000000,0.092363
openmp-perfmon,BaseDeformationMapping applyJ,Memory BW [MBytes/s],1.266515,1.266515,0.000000,0.316629
openmp-perfmon,BaseDeformationMapping applyJ,Memory data volume [GBytes],0.000539,0.000539,0.000000,0.000135
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.763538,0.190885,0.190885,0.190885
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.066321,0.028182,0.012519,0.016580
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11996.246491,3003.638219,2994.265070,2999.061623
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.739679,1.731754,0.993087,1.184920
openmp-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],0.734601,0.734601,0.000000,0.183650
openmp-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],0.375515,0.375515,0.000000,0.093879
openmp-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],1.110116,1.110116,0.000000,0.277529
openmp-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.000212,0.000212,0.000000,0.000053
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.030521,0.007630,0.007630,0.007630
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.003188,0.001240,0.000645,0.000797
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],11984.350163,2998.869242,2992.130428,2996.087541
openmp-perfmon,BaseStrainMapping apply,CPI,3.303849,1.173915,0.705755,0.825962
openmp-perfmon,BaseStrainMapping apply,Memory Read BW [MBytes/s],1.266556,1.266556,0.000000,0.316639
openmp-perfmon,BaseStrainMapping apply,Memory Write BW [MBytes/s],0.671023,0.671023,0.000000,0.167756
openmp-perfmon,BaseStrainMapping apply,Memory BW [MBytes/s],1.937579,1.937579,0.000000,0.484395
openmp-perfmon,BaseStrainMapping apply,Memory data volume [GBytes],0.000015,0.000015,0.000000,0.000004
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000241,0.000060,0.000060,0.000060
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000599,0.000599,0.000000,0.000150
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3016.245696,3016.245696,0.000000,754.061424
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,6.365483,6.365483,0.000000,1.591371
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.001258,0.000314,0.000314,0.000314
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.004888,0.004888,0.000000,0.001222
openmp-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3032.913150,3032.913150,0.000000,758.228288
openmp-perfmon,BaseDeformationMapping applyJT vec else,CPI,5.861982,5.861982,0.000000,1.465496
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.001182,0.000295,0.000295,0.000295
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.004518,0.004518,0.000000,0.001129
openmp-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3034.760378,3034.760378,0.000000,758.690094
openmp-perfmon,BaseDeformationMapping applyJ else,CPI,5.845511,5.845511,0.000000,1.461378
openmp-perfmon,BaseDeformationMapping applyJ else,Memory Read BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJ else,Memory Write BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJ else,Memory BW [MBytes/s],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJ else,Memory data volume [GBytes],0.000000,0.000000,0.000000,0.000000
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],1.675226,0.418807,0.418807,0.418807
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.325292,0.097583,0.067222,0.081323
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11980.018699,2996.732122,2993.144608,2995.004675
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,2.669504,0.782852,0.482688,0.667376
openmp-perfmon,BaseDeformationMapping applyJT vec,Memory Read BW [MBytes/s],0.820770,0.820770,0.000000,0.205193
openmp-perfmon,BaseDeformationMapping applyJT vec,Memory Write BW [MBytes/s],0.388456,0.388456,0.000000,0.097114
