Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.548703
openmp,Full,Througput [FPS],182.248
openmp,Full,Runtime (RDTSC) [s],11.444950,2.861237,2.861237,2.861237
openmp,Full,Runtime unhalted [s],3.179432,1.527375,0.191626,0.794858
openmp,Full,Clock [MHz],11970.363657,2992.815462,2992.145287,2992.590914
openmp,Full,CPI,2.244841,0.713882,0.434699,0.561210
openmp,Full,Memory Read BW [MBytes/s],219.009757,219.009757,0.000000,54.752439
openmp,Full,Memory Write BW [MBytes/s],129.710525,129.710525,0.000000,32.427631
openmp,Full,Memory BW [MBytes/s],348.720282,348.720282,0.000000,87.180070
openmp,Full,Memory data volume [GBytes],0.997772,0.997772,0.000000,0.249443
openmp,Full,Runtime (RDTSC) [s],11.444950,2.861237,2.861237,2.861237
openmp,Full,Runtime unhalted [s],3.179432,1.527375,0.191626,0.794858
openmp,Full,Clock [MHz],11970.363657,2992.815462,2992.145287,2992.590914
openmp,Full,CPI,2.244841,0.713882,0.434699,0.561210
openmp,Full,Memory Read BW [MBytes/s],219.009757,219.009757,0.000000,54.752439
openmp,Full,Memory Write BW [MBytes/s],129.710525,129.710525,0.000000,32.427631
openmp,Full,Memory BW [MBytes/s],348.720282,348.720282,0.000000,87.180070
openmp,Full,Memory data volume [GBytes],0.997772,0.997772,0.000000,0.249443
openmp,Full,Runtime (RDTSC) [s],11.444950,2.861237,2.861237,2.861237
openmp,Full,Runtime unhalted [s],3.179432,1.527375,0.191626,0.794858
openmp,Full,Clock [MHz],11970.363657,2992.815462,2992.145287,2992.590914
openmp,Full,CPI,2.244841,0.713882,0.434699,0.561210
openmp,Full,Memory Read BW [MBytes/s],219.009757,219.009757,0.000000,54.752439
openmp,Full,Memory Write BW [MBytes/s],129.710525,129.710525,0.000000,32.427631
openmp,Full,Memory BW [MBytes/s],348.720282,348.720282,0.000000,87.180070
openmp,Full,Memory data volume [GBytes],0.997772,0.997772,0.000000,0.249443
