Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.551818
openmp,Full,Througput [FPS],181.219
openmp,Full,INSTR_RETIRED_ANY,17230272664.000000,8732189449.000000,1039702260.000000,4307568166.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,9551341645.000000,4584845791.000000,577113077.000000,2387835411.250000
openmp,Full,CPU_CLK_UNHALTED_REF,9552095910.000000,4584981090.000000,577110240.000000,2388023977.500000
openmp,Full,CAS_COUNT_RD,2446120.000000,2446120.000000,0.000000,611530.000000
openmp,Full,CAS_COUNT_WR,1449257.000000,1449257.000000,0.000000,362314.250000
openmp,Full,CAS_COUNT_RD,2445245.000000,2445245.000000,0.000000,611311.250000
openmp,Full,CAS_COUNT_WR,1447320.000000,1447320.000000,0.000000,361830.000000
openmp,Full,CAS_COUNT_RD,2451379.000000,2451379.000000,0.000000,612844.750000
openmp,Full,CAS_COUNT_WR,1449764.000000,1449764.000000,0.000000,362441.000000
openmp,Full,CAS_COUNT_RD,2444128.000000,2444128.000000,0.000000,611032.000000
openmp,Full,CAS_COUNT_WR,1448609.000000,1448609.000000,0.000000,362152.250000
openmp,Full,INSTR_RETIRED_ANY,17230272664.000000,8732189449.000000,1039702260.000000,4307568166.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,9551341645.000000,4584845791.000000,577113077.000000,2387835411.250000
openmp,Full,CPU_CLK_UNHALTED_REF,9552095910.000000,4584981090.000000,577110240.000000,2388023977.500000
openmp,Full,CAS_COUNT_RD,2446120.000000,2446120.000000,0.000000,611530.000000
openmp,Full,CAS_COUNT_WR,1449257.000000,1449257.000000,0.000000,362314.250000
openmp,Full,CAS_COUNT_RD,2445245.000000,2445245.000000,0.000000,611311.250000
openmp,Full,CAS_COUNT_WR,1447320.000000,1447320.000000,0.000000,361830.000000
openmp,Full,CAS_COUNT_RD,2451379.000000,2451379.000000,0.000000,612844.750000
openmp,Full,CAS_COUNT_WR,1449764.000000,1449764.000000,0.000000,362441.000000
openmp,Full,CAS_COUNT_RD,2444128.000000,2444128.000000,0.000000,611032.000000
openmp,Full,CAS_COUNT_WR,1448609.000000,1448609.000000,0.000000,362152.250000
openmp,Full,INSTR_RETIRED_ANY,17230272664.000000,8732189449.000000,1039702260.000000,4307568166.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,9551341645.000000,4584845791.000000,577113077.000000,2387835411.250000
openmp,Full,CPU_CLK_UNHALTED_REF,9552095910.000000,4584981090.000000,577110240.000000,2388023977.500000
openmp,Full,CAS_COUNT_RD,2446120.000000,2446120.000000,0.000000,611530.000000
openmp,Full,CAS_COUNT_WR,1449257.000000,1449257.000000,0.000000,362314.250000
openmp,Full,CAS_COUNT_RD,2445245.000000,2445245.000000,0.000000,611311.250000
openmp,Full,CAS_COUNT_WR,1447320.000000,1447320.000000,0.000000,361830.000000
openmp,Full,CAS_COUNT_RD,2451379.000000,2451379.000000,0.000000,612844.750000
openmp,Full,CAS_COUNT_WR,1449764.000000,1449764.000000,0.000000,362441.000000
openmp,Full,CAS_COUNT_RD,2444128.000000,2444128.000000,0.000000,611032.000000
openmp,Full,CAS_COUNT_WR,1448609.000000,1448609.000000,0.000000,362152.250000
