Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,258030100.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,192519700.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,192134600.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,307.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,204.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,305.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,179.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,311.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,168.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,223.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,159.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,1816524000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,891157700.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,890425700.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,3538.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,1814.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,3357.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,1756.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,3463.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,1918.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,3097.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,1722.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,170479200.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,167053400.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,166684500.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,180.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,86.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,136.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,65.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,185.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,84.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,208.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,65.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,11708580.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,8285601.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,8272830.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,59.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,27.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,69.000000
