Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.026378
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.063315
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2998.468337
seq-perfmon,BaseStrainMapping applyJ,CPI,0.734369
seq-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],3.020712
seq-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],1.676556
seq-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],4.697267
seq-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.000124
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.220004
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.296148
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2994.855507
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.487914
seq-perfmon,BaseDeformationMapping applyJ,Memory Read BW [MBytes/s],2.121557
seq-perfmon,BaseDeformationMapping applyJ,Memory Write BW [MBytes/s],1.017579
seq-perfmon,BaseDeformationMapping applyJ,Memory BW [MBytes/s],3.139136
seq-perfmon,BaseDeformationMapping applyJ,Memory data volume [GBytes],0.000691
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.016790
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.054956
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2998.777025
seq-perfmon,BaseStrainMapping applyJT,CPI,0.964759
seq-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],8.736572
seq-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],4.608427
seq-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],13.344999
seq-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.000224
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001258
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002736
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2997.221604
seq-perfmon,BaseStrainMapping apply,CPI,0.699417
seq-perfmon,BaseStrainMapping apply,Memory Read BW [MBytes/s],14.958299
seq-perfmon,BaseStrainMapping apply,Memory Write BW [MBytes/s],8.140571
seq-perfmon,BaseStrainMapping apply,Memory BW [MBytes/s],23.098871
seq-perfmon,BaseStrainMapping apply,Memory data volume [GBytes],0.000029
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000055
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.004260
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],2997.377013
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.470521
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Read BW [MBytes/s],857.674347
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Write BW [MBytes/s],973.829970
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory BW [MBytes/s],1831.504316
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory data volume [GBytes],0.000100
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000293
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.037755
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3003.059790
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.421718
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory Read BW [MBytes/s],864.247085
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory Write BW [MBytes/s],432.232858
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory BW [MBytes/s],1296.479944
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory data volume [GBytes],0.000380
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000339
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.035352
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3001.124237
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.457982
seq-perfmon,BaseDeformationMapping applyJ else,Memory Read BW [MBytes/s],253.313965
seq-perfmon,BaseDeformationMapping applyJ else,Memory Write BW [MBytes/s],84.690042
seq-perfmon,BaseDeformationMapping applyJ else,Memory BW [MBytes/s],338.004006
seq-perfmon,BaseDeformationMapping applyJ else,Memory data volume [GBytes],0.000114
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.177195
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.253421
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2994.905285
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.491113
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Read BW [MBytes/s],3.346018
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Write BW [MBytes/s],1.914281
seq-perfmon,BaseDeformationMapping applyJT vec,Memory BW [MBytes/s],5.260299
seq-perfmon,BaseDeformationMapping applyJT vec,Memory data volume [GBytes],0.000932
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.022210
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.058696
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2997.707335
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.762662
seq-perfmon,BaseStrainMapping applyDJT,Memory Read BW [MBytes/s],5.907329
seq-perfmon,BaseStrainMapping applyDJT,Memory Write BW [MBytes/s],2.950783
seq-perfmon,BaseStrainMapping applyDJT,Memory BW [MBytes/s],8.858112
seq-perfmon,BaseStrainMapping applyDJT,Memory data volume [GBytes],0.000197
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.027344
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.034758
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2994.920923
seq-perfmon,BaseDeformationMapping apply,CPI,0.510931
seq-perfmon,BaseDeformationMapping apply,Memory Read BW [MBytes/s],6.429444
seq-perfmon,BaseDeformationMapping apply,Memory Write BW [MBytes/s],3.524843
seq-perfmon,BaseDeformationMapping apply,Memory BW [MBytes/s],9.954286
seq-perfmon,BaseDeformationMapping apply,Memory data volume [GBytes],0.000272
seq-perfmon,Simu,Runtime (RDTSC) [s],5.065427
seq-perfmon,Simu,Runtime unhalted [s],1.569918
seq-perfmon,Simu,Clock [MHz],2993.034074
seq-perfmon,Simu,CPI,0.820412
seq-perfmon,Simu,Memory Read BW [MBytes/s],0.522014
seq-perfmon,Simu,Memory Write BW [MBytes/s],0.246515
seq-perfmon,Simu,Memory BW [MBytes/s],0.768529
seq-perfmon,Simu,Memory data volume [GBytes],0.003893
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.026378
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.063315
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2998.468337
seq-perfmon,BaseStrainMapping applyJ,CPI,0.734369
seq-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],3.020712
seq-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],1.676556
seq-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],4.697267
seq-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.000124
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.220004
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.296148
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2994.855507
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.487914
seq-perfmon,BaseDeformationMapping applyJ,Memory Read BW [MBytes/s],2.121557
seq-perfmon,BaseDeformationMapping applyJ,Memory Write BW [MBytes/s],1.017579
seq-perfmon,BaseDeformationMapping applyJ,Memory BW [MBytes/s],3.139136
seq-perfmon,BaseDeformationMapping applyJ,Memory data volume [GBytes],0.000691
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.016790
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.054956
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2998.777025
seq-perfmon,BaseStrainMapping applyJT,CPI,0.964759
seq-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],8.736572
