Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.741646
seq,Full,Througput [FPS],134.835
seq,Full,Runtime (RDTSC) [s],4.327904
seq,Full,Runtime unhalted [s],2.759706
seq,Full,Clock [MHz],2992.750324
seq,Full,CPI,0.593892
seq,Full,Memory Read BW [MBytes/s],230.181033
seq,Full,Memory Write BW [MBytes/s],110.901965
seq,Full,Memory BW [MBytes/s],341.082998
seq,Full,Memory data volume [GBytes],1.476174
seq,Full,Runtime (RDTSC) [s],4.327904
seq,Full,Runtime unhalted [s],2.759706
seq,Full,Clock [MHz],2992.750324
seq,Full,CPI,0.593892
seq,Full,Memory Read BW [MBytes/s],230.181033
seq,Full,Memory Write BW [MBytes/s],110.901965
seq,Full,Memory BW [MBytes/s],341.082998
seq,Full,Memory data volume [GBytes],1.476174
seq,Full,Runtime (RDTSC) [s],4.327904
seq,Full,Runtime unhalted [s],2.759706
seq,Full,Clock [MHz],2992.750324
seq,Full,CPI,0.593892
seq,Full,Memory Read BW [MBytes/s],230.181033
seq,Full,Memory Write BW [MBytes/s],110.901965
seq,Full,Memory BW [MBytes/s],341.082998
seq,Full,Memory data volume [GBytes],1.476174
