Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.737399
seq,Full,Througput [FPS],135.612
seq,Full,INSTR_RETIRED_ANY,13905800366.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8220732835.000000
seq,Full,CPU_CLK_UNHALTED_REF,8220759270.000000
seq,Full,CAS_COUNT_RD,3899001.000000
seq,Full,CAS_COUNT_WR,1872717.000000
seq,Full,CAS_COUNT_RD,3897136.000000
seq,Full,CAS_COUNT_WR,1871304.000000
seq,Full,CAS_COUNT_RD,3901655.000000
seq,Full,CAS_COUNT_WR,1875068.000000
seq,Full,CAS_COUNT_RD,3897036.000000
seq,Full,CAS_COUNT_WR,1873473.000000
seq,Full,INSTR_RETIRED_ANY,13905800366.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8220732835.000000
seq,Full,CPU_CLK_UNHALTED_REF,8220759270.000000
seq,Full,CAS_COUNT_RD,3899001.000000
seq,Full,CAS_COUNT_WR,1872717.000000
seq,Full,CAS_COUNT_RD,3897136.000000
seq,Full,CAS_COUNT_WR,1871304.000000
seq,Full,CAS_COUNT_RD,3901655.000000
seq,Full,CAS_COUNT_WR,1875068.000000
seq,Full,CAS_COUNT_RD,3897036.000000
seq,Full,CAS_COUNT_WR,1873473.000000
seq,Full,INSTR_RETIRED_ANY,13905800366.000000
seq,Full,CPU_CLK_UNHALTED_CORE,8220732835.000000
seq,Full,CPU_CLK_UNHALTED_REF,8220759270.000000
seq,Full,CAS_COUNT_RD,3899001.000000
seq,Full,CAS_COUNT_WR,1872717.000000
seq,Full,CAS_COUNT_RD,3897136.000000
seq,Full,CAS_COUNT_WR,1871304.000000
seq,Full,CAS_COUNT_RD,3901655.000000
seq,Full,CAS_COUNT_WR,1875068.000000
seq,Full,CAS_COUNT_RD,3897036.000000
seq,Full,CAS_COUNT_WR,1873473.000000
