Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.037935,0.009484,0.009484,0.009484
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.036751,0.009644,0.008868,0.009188
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],12016.221436,3005.622817,3000.417934,3004.055359
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.167398,0.797576,0.780430,0.791849
openmp-perfmon,BaseStrainMapping applyJ,Load to Store ratio,6.008525,1.531432,1.482278,1.502131
openmp-perfmon,BaseDeformationMultiMapping apply,Runtime (RDTSC) [s],0.021015,0.005254,0.005254,0.005254
openmp-perfmon,BaseDeformationMultiMapping apply,Runtime unhalted [s],0.020829,0.005434,0.005032,0.005207
openmp-perfmon,BaseDeformationMultiMapping apply,Clock [MHz],11994.911494,2999.667038,2998.083133,2998.727873
openmp-perfmon,BaseDeformationMultiMapping apply,CPI,2.771357,0.701647,0.682240,0.692839
openmp-perfmon,BaseDeformationMultiMapping apply,Load to Store ratio,9.732715,2.471579,2.405284,2.433179
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime (RDTSC) [s],0.000189,0.000047,0.000047,0.000047
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime unhalted [s],0.000589,0.000589,0.000000,0.000147
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Clock [MHz],3013.734812,3013.734812,0.000000,753.433703
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPI,3.485601,3.485601,0.000000,0.871400
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Load to Store ratio,2.527531,2.527531,0.000000,0.631883
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.024495,0.006124,0.006124,0.006124
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.033303,0.008502,0.008081,0.008326
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12019.245731,3008.628897,3000.134440,3004.811433
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.354753,1.126197,1.020366,1.088688
openmp-perfmon,BaseStrainMapping applyJT,Load to Store ratio,8.957086,2.269463,2.216482,2.239271
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.003724,0.000931,0.000931,0.000931
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002845,0.000755,0.000687,0.000711
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],12008.309817,3004.393621,3000.385940,3002.077454
openmp-perfmon,BaseStrainMapping apply,CPI,3.050298,0.779012,0.751992,0.762575
openmp-perfmon,BaseStrainMapping apply,Load to Store ratio,5.671987,1.449509,1.402208,1.417997
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Runtime (RDTSC) [s],0.097668,0.024417,0.024417,0.024417
openmp-perfmon,BaseDeformationMultiMapping applyDJT,Runtime unhalted [s],0.021216,0.021216,0.000000,0.005304
