Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.363747
openmp,Full,Througput [FPS],274.916
openmp,Full,INSTR_RETIRED_ANY,13568502840.000000,8163243537.000000,342633507.000000,3392125710.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,7733110507.000000,3707532967.000000,225266127.000000,1933277626.750000
openmp,Full,CPU_CLK_UNHALTED_REF,7733675850.000000,3707531310.000000,225248610.000000,1933418962.500000
openmp,Full,MEM_UOP_RETIRED_LOADS,2651487534.000000,1320508552.000000,91948637.000000,662871883.500000
openmp,Full,MEM_UOP_RETIRED_STORES,1100812344.000000,542539248.000000,35344352.000000,275203086.000000
openmp,Full,INSTR_RETIRED_ANY,13568502840.000000,8163243537.000000,342633507.000000,3392125710.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,7733110507.000000,3707532967.000000,225266127.000000,1933277626.750000
openmp,Full,CPU_CLK_UNHALTED_REF,7733675850.000000,3707531310.000000,225248610.000000,1933418962.500000
openmp,Full,MEM_UOP_RETIRED_LOADS,2651487534.000000,1320508552.000000,91948637.000000,662871883.500000
openmp,Full,MEM_UOP_RETIRED_STORES,1100812344.000000,542539248.000000,35344352.000000,275203086.000000
openmp,Full,INSTR_RETIRED_ANY,13568502840.000000,8163243537.000000,342633507.000000,3392125710.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,7733110507.000000,3707532967.000000,225266127.000000,1933277626.750000
openmp,Full,CPU_CLK_UNHALTED_REF,7733675850.000000,3707531310.000000,225248610.000000,1933418962.500000
openmp,Full,MEM_UOP_RETIRED_LOADS,2651487534.000000,1320508552.000000,91948637.000000,662871883.500000
openmp,Full,MEM_UOP_RETIRED_STORES,1100812344.000000,542539248.000000,35344352.000000,275203086.000000
