Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.363747
openmp,Full,Througput [FPS],274.916
openmp,Full,Runtime (RDTSC) [s],10.250765,2.562691,2.562691,2.562691
openmp,Full,Runtime unhalted [s],2.583918,1.238824,0.075270,0.645980
openmp,Full,Clock [MHz],11971.078743,2993.017078,2992.281029,2992.769686
openmp,Full,CPI,2.545056,0.785924,0.437451,0.636264
openmp,Full,Load to Store ratio,10.047852,2.708452,2.112570,2.511963
openmp,Full,Runtime (RDTSC) [s],10.250765,2.562691,2.562691,2.562691
openmp,Full,Runtime unhalted [s],2.583918,1.238824,0.075270,0.645980
openmp,Full,Clock [MHz],11971.078743,2993.017078,2992.281029,2992.769686
openmp,Full,CPI,2.545056,0.785924,0.437451,0.636264
openmp,Full,Load to Store ratio,10.047852,2.708452,2.112570,2.511963
openmp,Full,Runtime (RDTSC) [s],10.250765,2.562691,2.562691,2.562691
openmp,Full,Runtime unhalted [s],2.583918,1.238824,0.075270,0.645980
openmp,Full,Clock [MHz],11971.078743,2993.017078,2992.281029,2992.769686
openmp,Full,CPI,2.545056,0.785924,0.437451,0.636264
openmp,Full,Load to Store ratio,10.047852,2.708452,2.112570,2.511963
