Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.014917
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.021313
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2995.970901
seq-perfmon,BaseStrainMapping applyJ,CPI,0.474895
seq-perfmon,BaseStrainMapping applyJ,Load to Store ratio,1.424838
seq-perfmon,BaseDeformationMultiMapping apply,Runtime (RDTSC) [s],0.013845
seq-perfmon,BaseDeformationMultiMapping apply,Runtime unhalted [s],0.015800
seq-perfmon,BaseDeformationMultiMapping apply,Clock [MHz],2994.400642
seq-perfmon,BaseDeformationMultiMapping apply,CPI,0.530831
seq-perfmon,BaseDeformationMultiMapping apply,Load to Store ratio,2.376843
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime (RDTSC) [s],0.000041
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime unhalted [s],0.000899
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Clock [MHz],2995.459939
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPI,3.148927
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Load to Store ratio,2.291141
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.009731
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.016691
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],3001.264959
seq-perfmon,BaseStrainMapping applyJT,CPI,0.576740
seq-perfmon,BaseStrainMapping applyJT,Load to Store ratio,2.113674
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001260
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.001717
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2998.534807
seq-perfmon,BaseStrainMapping apply,CPI,0.472237
seq-perfmon,BaseStrainMapping apply,Load to Store ratio,1.356421
