Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.331163
seq,Full,Througput [FPS],301.966
seq,Full,INSTR_RETIRED_ANY,10004261952.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6605571402.000000
seq,Full,CPU_CLK_UNHALTED_REF,6605692950.000000
seq,Full,MEM_UOP_RETIRED_LOADS,2408142421.000000
seq,Full,MEM_UOP_RETIRED_STORES,792311700.000000
seq,Full,INSTR_RETIRED_ANY,10004261952.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6605571402.000000
seq,Full,CPU_CLK_UNHALTED_REF,6605692950.000000
seq,Full,MEM_UOP_RETIRED_LOADS,2408142421.000000
seq,Full,MEM_UOP_RETIRED_STORES,792311700.000000
seq,Full,INSTR_RETIRED_ANY,10004261952.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6605571402.000000
seq,Full,CPU_CLK_UNHALTED_REF,6605692950.000000
seq,Full,MEM_UOP_RETIRED_LOADS,2408142421.000000
seq,Full,MEM_UOP_RETIRED_STORES,792311700.000000
