Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.330494
seq,Full,Througput [FPS],302.577
seq,Full,Runtime (RDTSC) [s],3.783955
seq,Full,Runtime unhalted [s],2.210982
seq,Full,Clock [MHz],2992.710437
seq,Full,CPI,0.661420
seq,Full,Load to Store ratio,3.039342
seq,Full,Runtime (RDTSC) [s],3.783955
seq,Full,Runtime unhalted [s],2.210982
seq,Full,Clock [MHz],2992.710437
seq,Full,CPI,0.661420
seq,Full,Load to Store ratio,3.039342
seq,Full,Runtime (RDTSC) [s],3.783955
seq,Full,Runtime unhalted [s],2.210982
seq,Full,Clock [MHz],2992.710437
seq,Full,CPI,0.661420
seq,Full,Load to Store ratio,3.039342
