Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,134316800.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,63873200.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,63861990.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_REPLACEMENT,1242073.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_M_EVICT,379485.000000
seq-perfmon,BaseDeformationMultiMapping apply,INSTR_RETIRED_ANY,89077860.000000
seq-perfmon,BaseDeformationMultiMapping apply,CPU_CLK_UNHALTED_CORE,47289420.000000
seq-perfmon,BaseDeformationMultiMapping apply,CPU_CLK_UNHALTED_REF,47269140.000000
seq-perfmon,BaseDeformationMultiMapping apply,L1D_REPLACEMENT,1146634.000000
seq-perfmon,BaseDeformationMultiMapping apply,L1D_M_EVICT,366008.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,INSTR_RETIRED_ANY,854885.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPU_CLK_UNHALTED_CORE,2748751.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPU_CLK_UNHALTED_REF,2736090.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L1D_REPLACEMENT,26342.000000
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L1D_M_EVICT,6797.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,86613130.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,49794060.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,49732020.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_REPLACEMENT,1323362.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_M_EVICT,423394.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,10878640.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,5132468.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,5122920.000000
seq-perfmon,BaseStrainMapping apply,L1D_REPLACEMENT,87427.000000
seq-perfmon,BaseStrainMapping apply,L1D_M_EVICT,34767.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,INSTR_RETIRED_ANY,35522880.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CPU_CLK_UNHALTED_CORE,51679080.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,CPU_CLK_UNHALTED_REF,51593040.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,L1D_REPLACEMENT,1758150.000000
seq-perfmon,BaseDeformationMultiMapping applyDJT,L1D_M_EVICT,427380.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,INSTR_RETIRED_ANY,245448000.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CPU_CLK_UNHALTED_CORE,150828100.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CPU_CLK_UNHALTED_REF,150693400.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,L1D_REPLACEMENT,8019989.000000
seq-perfmon,BaseDeformationMultiMapping applyJT vec,L1D_M_EVICT,609198.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,INSTR_RETIRED_ANY,455003400.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CPU_CLK_UNHALTED_CORE,219166400.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,CPU_CLK_UNHALTED_REF,219157600.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,L1D_REPLACEMENT,5491297.000000
seq-perfmon,BaseDeformationMultiMapping applyJ,L1D_M_EVICT,927020.000000
