Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.33004
seq,Full,Througput [FPS],302.994
seq,Full,INSTR_RETIRED_ANY,10008134928.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6600744458.000000
seq,Full,CPU_CLK_UNHALTED_REF,6600829740.000000
seq,Full,L1D_REPLACEMENT,161867875.000000
seq,Full,L1D_M_EVICT,8915228.000000
seq,Full,INSTR_RETIRED_ANY,10008134928.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6600744458.000000
seq,Full,CPU_CLK_UNHALTED_REF,6600829740.000000
seq,Full,L1D_REPLACEMENT,161867875.000000
seq,Full,L1D_M_EVICT,8915228.000000
seq,Full,INSTR_RETIRED_ANY,10008134928.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6600744458.000000
seq,Full,CPU_CLK_UNHALTED_REF,6600829740.000000
seq,Full,L1D_REPLACEMENT,161867875.000000
seq,Full,L1D_M_EVICT,8915228.000000
