Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.038011,0.009503,0.009503,0.009503
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.036936,0.009794,0.008851,0.009234
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11999.070815,3004.915412,2992.221306,2999.767704
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.187745,0.810261,0.778860,0.796936
openmp-perfmon,BaseStrainMapping applyJ,L2 request rate,0.190500,0.053216,0.043315,0.047625
openmp-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.038675,0.010330,0.008889,0.009669
openmp-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.813267,0.218214,0.194118,0.203317
openmp-perfmon,BaseDeformationMultiMapping apply,Runtime (RDTSC) [s],0.020890,0.005222,0.005222,0.005222
openmp-perfmon,BaseDeformationMultiMapping apply,Runtime unhalted [s],0.021030,0.005489,0.005028,0.005257
openmp-perfmon,BaseDeformationMultiMapping apply,Clock [MHz],11991.947856,2998.424497,2997.177707,2997.986964
openmp-perfmon,BaseDeformationMultiMapping apply,CPI,2.796819,0.708306,0.690428,0.699205
openmp-perfmon,BaseDeformationMultiMapping apply,L2 request rate,0.235252,0.063193,0.055226,0.058813
openmp-perfmon,BaseDeformationMultiMapping apply,L2 miss rate,0.055700,0.016927,0.012605,0.013925
openmp-perfmon,BaseDeformationMultiMapping apply,L2 miss ratio,0.943978,0.267855,0.219675,0.235995
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime (RDTSC) [s],0.000192,0.000048,0.000048,0.000048
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime unhalted [s],0.000614,0.000614,0.000000,0.000153
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Clock [MHz],3011.119578,3011.119578,0.000000,752.779895
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPI,3.634925,3.634925,0.000000,0.908731
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L2 request rate,0.136041,0.136041,0.000000,0.034010
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L2 miss rate,0.016042,0.016042,0.000000,0.004011
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L2 miss ratio,0.117923,0.117923,0.000000,0.029481
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.022988,0.005747,0.005747,0.005747
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.033602,0.008539,0.008183,0.008400
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12006.758191,3006.461683,2996.790479,3001.689548
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.401733,1.130047,1.037749,1.100433
openmp-perfmon,BaseStrainMapping applyJT,L2 request rate,0.303076,0.088703,0.068506,0.075769
openmp-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.061666,0.017072,0.012797,0.015416
openmp-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.815211,0.220657,0.186803,0.203803
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.004143,0.001036,0.001036,0.001036
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002889,0.000759,0.000704,0.000722
