Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.359195
openmp,Full,Througput [FPS],278.4
openmp,Full,INSTR_RETIRED_ANY,13560557462.000000,8169592397.000000,335850942.000000,3390139365.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,7712368448.000000,3696337818.000000,223850434.000000,1928092112.000000
openmp,Full,CPU_CLK_UNHALTED_REF,7712946210.000000,3696415830.000000,223851150.000000,1928236552.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,346070618.000000,250848433.000000,12115165.000000,86517654.500000
openmp,Full,L2_RQSTS_MISS,59411153.000000,41006576.000000,2104727.000000,14852788.250000
openmp,Full,INSTR_RETIRED_ANY,13560557462.000000,8169592397.000000,335850942.000000,3390139365.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,7712368448.000000,3696337818.000000,223850434.000000,1928092112.000000
openmp,Full,CPU_CLK_UNHALTED_REF,7712946210.000000,3696415830.000000,223851150.000000,1928236552.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,346070618.000000,250848433.000000,12115165.000000,86517654.500000
openmp,Full,L2_RQSTS_MISS,59411153.000000,41006576.000000,2104727.000000,14852788.250000
openmp,Full,INSTR_RETIRED_ANY,13560557462.000000,8169592397.000000,335850942.000000,3390139365.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,7712368448.000000,3696337818.000000,223850434.000000,1928092112.000000
openmp,Full,CPU_CLK_UNHALTED_REF,7712946210.000000,3696415830.000000,223851150.000000,1928236552.500000
openmp,Full,L2_TRANS_ALL_REQUESTS,346070618.000000,250848433.000000,12115165.000000,86517654.500000
openmp,Full,L2_RQSTS_MISS,59411153.000000,41006576.000000,2104727.000000,14852788.250000
