Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.359195
openmp,Full,Througput [FPS],278.4
openmp,Full,Runtime (RDTSC) [s],10.244241,2.561060,2.561060,2.561060
openmp,Full,Runtime unhalted [s],2.577012,1.235095,0.074797,0.644253
openmp,Full,Clock [MHz],11970.557153,2992.780656,2992.336271,2992.639288
openmp,Full,CPI,2.551311,0.783850,0.436574,0.637828
openmp,Full,L2 request rate,0.135613,0.053195,0.008604,0.033903
openmp,Full,L2 miss rate,0.023369,0.008696,0.001717,0.005842
openmp,Full,L2 miss ratio,0.714015,0.199573,0.163472,0.178504
openmp,Full,Runtime (RDTSC) [s],10.244241,2.561060,2.561060,2.561060
openmp,Full,Runtime unhalted [s],2.577012,1.235095,0.074797,0.644253
openmp,Full,Clock [MHz],11970.557153,2992.780656,2992.336271,2992.639288
openmp,Full,CPI,2.551311,0.783850,0.436574,0.637828
openmp,Full,L2 request rate,0.135613,0.053195,0.008604,0.033903
openmp,Full,L2 miss rate,0.023369,0.008696,0.001717,0.005842
openmp,Full,L2 miss ratio,0.714015,0.199573,0.163472,0.178504
openmp,Full,Runtime (RDTSC) [s],10.244241,2.561060,2.561060,2.561060
openmp,Full,Runtime unhalted [s],2.577012,1.235095,0.074797,0.644253
openmp,Full,Clock [MHz],11970.557153,2992.780656,2992.336271,2992.639288
openmp,Full,CPI,2.551311,0.783850,0.436574,0.637828
openmp,Full,L2 request rate,0.135613,0.053195,0.008604,0.033903
openmp,Full,L2 miss rate,0.023369,0.008696,0.001717,0.005842
openmp,Full,L2 miss ratio,0.714015,0.199573,0.163472,0.178504
