Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.015076
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.021295
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2995.150798
seq-perfmon,BaseStrainMapping applyJ,CPI,0.472269
seq-perfmon,BaseStrainMapping applyJ,L2 request rate,0.029549
seq-perfmon,BaseStrainMapping applyJ,L2 miss rate,0.006623
seq-perfmon,BaseStrainMapping applyJ,L2 miss ratio,0.224138
seq-perfmon,BaseDeformationMultiMapping apply,Runtime (RDTSC) [s],0.013864
seq-perfmon,BaseDeformationMultiMapping apply,Runtime unhalted [s],0.015742
seq-perfmon,BaseDeformationMultiMapping apply,Clock [MHz],2994.003894
seq-perfmon,BaseDeformationMultiMapping apply,CPI,0.528896
seq-perfmon,BaseDeformationMultiMapping apply,L2 request rate,0.044364
seq-perfmon,BaseDeformationMultiMapping apply,L2 miss rate,0.012944
seq-perfmon,BaseDeformationMultiMapping apply,L2 miss ratio,0.291772
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime (RDTSC) [s],0.000046
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime unhalted [s],0.000902
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Clock [MHz],3011.899030
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPI,3.157864
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L2 request rate,0.109910
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L2 miss rate,0.010789
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L2 miss ratio,0.098160
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.009820
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.016686
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2991.806055
seq-perfmon,BaseStrainMapping applyJT,CPI,0.574017
seq-perfmon,BaseStrainMapping applyJT,L2 request rate,0.045638
seq-perfmon,BaseStrainMapping applyJT,L2 miss rate,0.009865
seq-perfmon,BaseStrainMapping applyJT,L2 miss ratio,0.216149
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001263
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.001708
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2997.050250
seq-perfmon,BaseStrainMapping apply,CPI,0.469775
seq-perfmon,BaseStrainMapping apply,L2 request rate,0.027737
seq-perfmon,BaseStrainMapping apply,L2 miss rate,0.006340
