Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.32996
seq,Full,Througput [FPS],303.067
seq,Full,Runtime (RDTSC) [s],3.776233
seq,Full,Runtime unhalted [s],2.201261
seq,Full,Clock [MHz],2992.667409
seq,Full,CPI,0.658719
seq,Full,L2 request rate,0.027162
seq,Full,L2 miss rate,0.004796
seq,Full,L2 miss ratio,0.176582
seq,Full,Runtime (RDTSC) [s],3.776233
seq,Full,Runtime unhalted [s],2.201261
seq,Full,Clock [MHz],2992.667409
seq,Full,CPI,0.658719
seq,Full,L2 request rate,0.027162
seq,Full,L2 miss rate,0.004796
seq,Full,L2 miss ratio,0.176582
seq,Full,Runtime (RDTSC) [s],3.776233
seq,Full,Runtime unhalted [s],2.201261
seq,Full,Clock [MHz],2992.667409
seq,Full,CPI,0.658719
seq,Full,L2 request rate,0.027162
seq,Full,L2 miss rate,0.004796
seq,Full,L2 miss ratio,0.176582
