Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.329675
seq,Full,Througput [FPS],303.329
seq,Full,INSTR_RETIRED_ANY,10002186596.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6636556549.000000
seq,Full,CPU_CLK_UNHALTED_REF,6636632700.000000
seq,Full,L2_TRANS_ALL_REQUESTS,272293802.000000
seq,Full,L2_RQSTS_MISS,47789921.000000
seq,Full,INSTR_RETIRED_ANY,10002186596.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6636556549.000000
seq,Full,CPU_CLK_UNHALTED_REF,6636632700.000000
seq,Full,L2_TRANS_ALL_REQUESTS,272293802.000000
seq,Full,L2_RQSTS_MISS,47789921.000000
seq,Full,INSTR_RETIRED_ANY,10002186596.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6636556549.000000
seq,Full,CPU_CLK_UNHALTED_REF,6636632700.000000
seq,Full,L2_TRANS_ALL_REQUESTS,272293802.000000
seq,Full,L2_RQSTS_MISS,47789921.000000
