Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.036350,0.009088,0.009088,0.009088
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.036897,0.009701,0.009015,0.009224
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],12013.466295,3003.906100,3002.524510,3003.366574
openmp-perfmon,BaseStrainMapping applyJ,CPI,3.187777,0.803787,0.792433,0.796944
openmp-perfmon,BaseStrainMapping applyJ,L3 Load [MBytes/s],9244.312279,2700.843336,2004.087547,2311.078070
openmp-perfmon,BaseStrainMapping applyJ,L3 Evict [MBytes/s],319.528043,138.315901,41.255323,79.882011
openmp-perfmon,BaseStrainMapping applyJ,L3 bandwidth [MBytes/s],9563.840322,2839.159237,2099.704399,2390.960080
openmp-perfmon,BaseStrainMapping applyJ,L3 data volume [GBytes],0.086912,0.025801,0.019081,0.021728
openmp-perfmon,BaseDeformationMultiMapping apply,Runtime (RDTSC) [s],0.021751,0.005438,0.005438,0.005438
openmp-perfmon,BaseDeformationMultiMapping apply,Runtime unhalted [s],0.020873,0.005449,0.005043,0.005218
openmp-perfmon,BaseDeformationMultiMapping apply,Clock [MHz],11995.241359,2999.535017,2997.733909,2998.810340
openmp-perfmon,BaseDeformationMultiMapping apply,CPI,2.776310,0.702865,0.686632,0.694078
openmp-perfmon,BaseDeformationMultiMapping apply,L3 Load [MBytes/s],14352.283460,4509.626107,3219.671803,3588.070865
openmp-perfmon,BaseDeformationMultiMapping apply,L3 Evict [MBytes/s],785.294992,270.078298,153.735247,196.323748
openmp-perfmon,BaseDeformationMultiMapping apply,L3 bandwidth [MBytes/s],15137.578452,4779.704405,3396.299032,3784.394613
openmp-perfmon,BaseDeformationMultiMapping apply,L3 data volume [GBytes],0.082314,0.025991,0.018468,0.020578
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime (RDTSC) [s],0.000208,0.000052,0.000052,0.000052
openmp-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime unhalted [s],0.000595,0.000595,0.000000,0.000149
