Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.363889
openmp,Full,Througput [FPS],274.809
openmp,Full,Runtime (RDTSC) [s],10.239081,2.559770,2.559770,2.559770
openmp,Full,Runtime unhalted [s],2.591709,1.248508,0.073996,0.647927
openmp,Full,Clock [MHz],11967.229613,2992.623268,2990.842862,2991.807403
openmp,Full,CPI,2.548717,0.791489,0.437588,0.637179
openmp,Full,L3 Load [MBytes/s],1475.626852,1056.703688,51.808274,368.906713
openmp,Full,L3 Evict [MBytes/s],115.166983,62.854915,0.988889,28.791746
openmp,Full,L3 bandwidth [MBytes/s],1590.793835,1119.558603,52.797162,397.698459
openmp,Full,L3 data volume [GBytes],4.072067,2.865813,0.135149,1.018017
openmp,Full,Runtime (RDTSC) [s],10.239081,2.559770,2.559770,2.559770
openmp,Full,Runtime unhalted [s],2.591709,1.248508,0.073996,0.647927
openmp,Full,Clock [MHz],11967.229613,2992.623268,2990.842862,2991.807403
openmp,Full,CPI,2.548717,0.791489,0.437588,0.637179
openmp,Full,L3 Load [MBytes/s],1475.626852,1056.703688,51.808274,368.906713
openmp,Full,L3 Evict [MBytes/s],115.166983,62.854915,0.988889,28.791746
openmp,Full,L3 bandwidth [MBytes/s],1590.793835,1119.558603,52.797162,397.698459
openmp,Full,L3 data volume [GBytes],4.072067,2.865813,0.135149,1.018017
openmp,Full,Runtime (RDTSC) [s],10.239081,2.559770,2.559770,2.559770
openmp,Full,Runtime unhalted [s],2.591709,1.248508,0.073996,0.647927
openmp,Full,Clock [MHz],11967.229613,2992.623268,2990.842862,2991.807403
openmp,Full,CPI,2.548717,0.791489,0.437588,0.637179
openmp,Full,L3 Load [MBytes/s],1475.626852,1056.703688,51.808274,368.906713
openmp,Full,L3 Evict [MBytes/s],115.166983,62.854915,0.988889,28.791746
openmp,Full,L3 bandwidth [MBytes/s],1590.793835,1119.558603,52.797162,397.698459
openmp,Full,L3 data volume [GBytes],4.072067,2.865813,0.135149,1.018017
