Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.357398
openmp,Full,Througput [FPS],279.8
openmp,Full,INSTR_RETIRED_ANY,13561629620.000000,8168291167.000000,335002633.000000,3390407405.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,7742964429.000000,3725021485.000000,223501770.000000,1935741107.250000
openmp,Full,CPU_CLK_UNHALTED_REF,7743795300.000000,3725047830.000000,223526850.000000,1935948825.000000
openmp,Full,L2_LINES_IN_ALL,61435279.000000,44737330.000000,1935108.000000,15358819.750000
openmp,Full,L2_LINES_OUT_DIRTY_ALL,4541432.000000,2507345.000000,37033.000000,1135358.000000
openmp,Full,INSTR_RETIRED_ANY,13561629620.000000,8168291167.000000,335002633.000000,3390407405.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,7742964429.000000,3725021485.000000,223501770.000000,1935741107.250000
openmp,Full,CPU_CLK_UNHALTED_REF,7743795300.000000,3725047830.000000,223526850.000000,1935948825.000000
openmp,Full,L2_LINES_IN_ALL,61435279.000000,44737330.000000,1935108.000000,15358819.750000
openmp,Full,L2_LINES_OUT_DIRTY_ALL,4541432.000000,2507345.000000,37033.000000,1135358.000000
openmp,Full,INSTR_RETIRED_ANY,13561629620.000000,8168291167.000000,335002633.000000,3390407405.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,7742964429.000000,3725021485.000000,223501770.000000,1935741107.250000
openmp,Full,CPU_CLK_UNHALTED_REF,7743795300.000000,3725047830.000000,223526850.000000,1935948825.000000
openmp,Full,L2_LINES_IN_ALL,61435279.000000,44737330.000000,1935108.000000,15358819.750000
openmp,Full,L2_LINES_OUT_DIRTY_ALL,4541432.000000,2507345.000000,37033.000000,1135358.000000
