Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.015002
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.021274
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2996.362889
seq-perfmon,BaseStrainMapping applyJ,CPI,0.474652
seq-perfmon,BaseStrainMapping applyJ,L3 Load [MBytes/s],3686.359831
seq-perfmon,BaseStrainMapping applyJ,L3 Evict [MBytes/s],170.539709
seq-perfmon,BaseStrainMapping applyJ,L3 bandwidth [MBytes/s],3856.899540
seq-perfmon,BaseStrainMapping applyJ,L3 data volume [GBytes],0.057862
seq-perfmon,BaseDeformationMultiMapping apply,Runtime (RDTSC) [s],0.013878
seq-perfmon,BaseDeformationMultiMapping apply,Runtime unhalted [s],0.015782
seq-perfmon,BaseDeformationMultiMapping apply,Clock [MHz],2994.506358
seq-perfmon,BaseDeformationMultiMapping apply,CPI,0.530247
seq-perfmon,BaseDeformationMultiMapping apply,L3 Load [MBytes/s],5267.654457
seq-perfmon,BaseDeformationMultiMapping apply,L3 Evict [MBytes/s],611.297071
seq-perfmon,BaseDeformationMultiMapping apply,L3 bandwidth [MBytes/s],5878.951529
seq-perfmon,BaseDeformationMultiMapping apply,L3 data volume [GBytes],0.081589
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime (RDTSC) [s],0.000043
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime unhalted [s],0.000893
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Clock [MHz],3006.362050
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPI,3.124875
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L3 Load [MBytes/s],12697.355150
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L3 Evict [MBytes/s],1890.685929
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L3 bandwidth [MBytes/s],14588.041078
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L3 data volume [GBytes],0.000631
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.009885
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.016648
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],3002.674463
seq-perfmon,BaseStrainMapping applyJT,CPI,0.575978
seq-perfmon,BaseStrainMapping applyJT,L3 Load [MBytes/s],5530.759727
seq-perfmon,BaseStrainMapping applyJT,L3 Evict [MBytes/s],268.444258
seq-perfmon,BaseStrainMapping applyJT,L3 bandwidth [MBytes/s],5799.203985
seq-perfmon,BaseStrainMapping applyJT,L3 data volume [GBytes],0.057325
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001255
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.001703
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2997.188982
seq-perfmon,BaseStrainMapping apply,CPI,0.468369
seq-perfmon,BaseStrainMapping apply,L3 Load [MBytes/s],3568.914830
seq-perfmon,BaseStrainMapping apply,L3 Evict [MBytes/s],531.515554
seq-perfmon,BaseStrainMapping apply,L3 bandwidth [MBytes/s],4100.430384
seq-perfmon,BaseStrainMapping apply,L3 data volume [GBytes],0.005147
seq-perfmon,BaseDeformationMultiMapping applyDJT,Runtime (RDTSC) [s],0.004855
seq-perfmon,BaseDeformationMultiMapping applyDJT,Runtime unhalted [s],0.017400
seq-perfmon,BaseDeformationMultiMapping applyDJT,Clock [MHz],3003.436669
seq-perfmon,BaseDeformationMultiMapping applyDJT,CPI,1.467878
seq-perfmon,BaseDeformationMultiMapping applyDJT,L3 Load [MBytes/s],6351.725604
seq-perfmon,BaseDeformationMultiMapping applyDJT,L3 Evict [MBytes/s],545.469826
seq-perfmon,BaseDeformationMultiMapping applyDJT,L3 bandwidth [MBytes/s],6897.195430
seq-perfmon,BaseDeformationMultiMapping applyDJT,L3 data volume [GBytes],0.033483
seq-perfmon,BaseDeformationMultiMapping applyJT vec,Runtime (RDTSC) [s],0.036631
seq-perfmon,BaseDeformationMultiMapping applyJT vec,Runtime unhalted [s],0.050432
seq-perfmon,BaseDeformationMultiMapping applyJT vec,Clock [MHz],2996.983535
seq-perfmon,BaseDeformationMultiMapping applyJT vec,CPI,0.615705
seq-perfmon,BaseDeformationMultiMapping applyJT vec,L3 Load [MBytes/s],7479.572149
seq-perfmon,BaseDeformationMultiMapping applyJT vec,L3 Evict [MBytes/s],498.841160
seq-perfmon,BaseDeformationMultiMapping applyJT vec,L3 bandwidth [MBytes/s],7978.413309
seq-perfmon,BaseDeformationMultiMapping applyJT vec,L3 data volume [GBytes],0.292261
seq-perfmon,BaseDeformationMultiMapping applyJ,Runtime (RDTSC) [s],0.059639
seq-perfmon,BaseDeformationMultiMapping applyJ,Runtime unhalted [s],0.072830
seq-perfmon,BaseDeformationMultiMapping applyJ,Clock [MHz],2994.518474
seq-perfmon,BaseDeformationMultiMapping applyJ,CPI,0.479684
seq-perfmon,BaseDeformationMultiMapping applyJ,L3 Load [MBytes/s],5630.782784
seq-perfmon,BaseDeformationMultiMapping applyJ,L3 Evict [MBytes/s],549.864443
seq-perfmon,BaseDeformationMultiMapping applyJ,L3 bandwidth [MBytes/s],6180.647227
seq-perfmon,BaseDeformationMultiMapping applyJ,L3 data volume [GBytes],0.368610
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.012534
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.018827
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2996.855629
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.476058
seq-perfmon,BaseStrainMapping applyDJT,L3 Load [MBytes/s],3872.377813
seq-perfmon,BaseStrainMapping applyDJT,L3 Evict [MBytes/s],359.603690
seq-perfmon,BaseStrainMapping applyDJT,L3 bandwidth [MBytes/s],4231.981503
seq-perfmon,BaseStrainMapping applyDJT,L3 data volume [GBytes],0.053042
seq-perfmon,Simu,Runtime (RDTSC) [s],1.036892
seq-perfmon,Simu,Runtime unhalted [s],0.519972
seq-perfmon,Simu,Clock [MHz],2992.814618
seq-perfmon,Simu,CPI,0.799655
seq-perfmon,Simu,L3 Load [MBytes/s],1880.259082
seq-perfmon,Simu,L3 Evict [MBytes/s],161.915879
seq-perfmon,Simu,L3 bandwidth [MBytes/s],2042.174961
seq-perfmon,Simu,L3 data volume [GBytes],2.117515
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.015002
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.021274
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2996.362889
seq-perfmon,BaseStrainMapping applyJ,CPI,0.474652
seq-perfmon,BaseStrainMapping applyJ,L3 Load [MBytes/s],3686.359831
seq-perfmon,BaseStrainMapping applyJ,L3 Evict [MBytes/s],170.539709
seq-perfmon,BaseStrainMapping applyJ,L3 bandwidth [MBytes/s],3856.899540
seq-perfmon,BaseStrainMapping applyJ,L3 data volume [GBytes],0.057862
seq-perfmon,BaseDeformationMultiMapping apply,Runtime (RDTSC) [s],0.013878
seq-perfmon,BaseDeformationMultiMapping apply,Runtime unhalted [s],0.015782
seq-perfmon,BaseDeformationMultiMapping apply,Clock [MHz],2994.506358
seq-perfmon,BaseDeformationMultiMapping apply,CPI,0.530247
seq-perfmon,BaseDeformationMultiMapping apply,L3 Load [MBytes/s],5267.654457
seq-perfmon,BaseDeformationMultiMapping apply,L3 Evict [MBytes/s],611.297071
seq-perfmon,BaseDeformationMultiMapping apply,L3 bandwidth [MBytes/s],5878.951529
seq-perfmon,BaseDeformationMultiMapping apply,L3 data volume [GBytes],0.081589
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime (RDTSC) [s],0.000043
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime unhalted [s],0.000893
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Clock [MHz],3006.362050
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPI,3.124875
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L3 Load [MBytes/s],12697.355150
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L3 Evict [MBytes/s],1890.685929
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L3 bandwidth [MBytes/s],14588.041078
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,L3 data volume [GBytes],0.000631
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.009885
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.016648
