Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.328957
seq,Full,Througput [FPS],303.991
seq,Full,Runtime (RDTSC) [s],3.777591
seq,Full,Runtime unhalted [s],2.201822
seq,Full,Clock [MHz],2992.746689
seq,Full,CPI,0.659238
seq,Full,L3 Load [MBytes/s],805.433174
seq,Full,L3 Evict [MBytes/s],67.684723
seq,Full,L3 bandwidth [MBytes/s],873.117897
seq,Full,L3 data volume [GBytes],3.298282
seq,Full,Runtime (RDTSC) [s],3.777591
seq,Full,Runtime unhalted [s],2.201822
seq,Full,Clock [MHz],2992.746689
seq,Full,CPI,0.659238
seq,Full,L3 Load [MBytes/s],805.433174
seq,Full,L3 Evict [MBytes/s],67.684723
seq,Full,L3 bandwidth [MBytes/s],873.117897
seq,Full,L3 data volume [GBytes],3.298282
seq,Full,Runtime (RDTSC) [s],3.777591
seq,Full,Runtime unhalted [s],2.201822
seq,Full,Clock [MHz],2992.746689
seq,Full,CPI,0.659238
seq,Full,L3 Load [MBytes/s],805.433174
seq,Full,L3 Evict [MBytes/s],67.684723
seq,Full,L3 bandwidth [MBytes/s],873.117897
seq,Full,L3 data volume [GBytes],3.298282
