Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.357479
openmp,Full,Througput [FPS],279.737
openmp,Full,Runtime (RDTSC) [s],10.229534,2.557383,2.557383,2.557383
openmp,Full,Runtime unhalted [s],2.576766,1.238991,0.072309,0.644192
openmp,Full,Clock [MHz],11970.502327,2992.824761,2992.262698,2992.625582
openmp,Full,CPI,2.536544,0.784824,0.436670,0.634136
openmp,Full,Memory Read BW [MBytes/s],245.006216,245.006216,0.000000,61.251554
openmp,Full,Memory Write BW [MBytes/s],144.992894,144.992894,0.000000,36.248224
openmp,Full,Memory BW [MBytes/s],389.999110,389.999110,0.000000,97.499777
openmp,Full,Memory data volume [GBytes],0.997377,0.997377,0.000000,0.249344
openmp,Full,Runtime (RDTSC) [s],10.229534,2.557383,2.557383,2.557383
openmp,Full,Runtime unhalted [s],2.576766,1.238991,0.072309,0.644192
openmp,Full,Clock [MHz],11970.502327,2992.824761,2992.262698,2992.625582
openmp,Full,CPI,2.536544,0.784824,0.436670,0.634136
openmp,Full,Memory Read BW [MBytes/s],245.006216,245.006216,0.000000,61.251554
openmp,Full,Memory Write BW [MBytes/s],144.992894,144.992894,0.000000,36.248224
openmp,Full,Memory BW [MBytes/s],389.999110,389.999110,0.000000,97.499777
openmp,Full,Memory data volume [GBytes],0.997377,0.997377,0.000000,0.249344
openmp,Full,Runtime (RDTSC) [s],10.229534,2.557383,2.557383,2.557383
openmp,Full,Runtime unhalted [s],2.576766,1.238991,0.072309,0.644192
openmp,Full,Clock [MHz],11970.502327,2992.824761,2992.262698,2992.625582
openmp,Full,CPI,2.536544,0.784824,0.436670,0.634136
openmp,Full,Memory Read BW [MBytes/s],245.006216,245.006216,0.000000,61.251554
openmp,Full,Memory Write BW [MBytes/s],144.992894,144.992894,0.000000,36.248224
openmp,Full,Memory BW [MBytes/s],389.999110,389.999110,0.000000,97.499777
openmp,Full,Memory data volume [GBytes],0.997377,0.997377,0.000000,0.249344
