Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.360735
openmp,Full,Througput [FPS],277.212
openmp,Full,INSTR_RETIRED_ANY,13567285187.000000,8172221866.000000,334238333.000000,3391821296.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,7751556727.000000,3731539737.000000,222317851.000000,1937889181.750000
openmp,Full,CPU_CLK_UNHALTED_REF,7752577770.000000,3731938140.000000,222304410.000000,1938144442.500000
openmp,Full,CAS_COUNT_RD,2449842.000000,2449842.000000,0.000000,612460.500000
openmp,Full,CAS_COUNT_WR,1448503.000000,1448503.000000,0.000000,362125.750000
openmp,Full,CAS_COUNT_RD,2446138.000000,2446138.000000,0.000000,611534.500000
openmp,Full,CAS_COUNT_WR,1448084.000000,1448084.000000,0.000000,362021.000000
openmp,Full,CAS_COUNT_RD,2454698.000000,2454698.000000,0.000000,613674.500000
openmp,Full,CAS_COUNT_WR,1450982.000000,1450982.000000,0.000000,362745.500000
openmp,Full,CAS_COUNT_RD,2447131.000000,2447131.000000,0.000000,611782.750000
openmp,Full,CAS_COUNT_WR,1448958.000000,1448958.000000,0.000000,362239.500000
openmp,Full,INSTR_RETIRED_ANY,13567285187.000000,8172221866.000000,334238333.000000,3391821296.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,7751556727.000000,3731539737.000000,222317851.000000,1937889181.750000
openmp,Full,CPU_CLK_UNHALTED_REF,7752577770.000000,3731938140.000000,222304410.000000,1938144442.500000
openmp,Full,CAS_COUNT_RD,2449842.000000,2449842.000000,0.000000,612460.500000
openmp,Full,CAS_COUNT_WR,1448503.000000,1448503.000000,0.000000,362125.750000
openmp,Full,CAS_COUNT_RD,2446138.000000,2446138.000000,0.000000,611534.500000
openmp,Full,CAS_COUNT_WR,1448084.000000,1448084.000000,0.000000,362021.000000
openmp,Full,CAS_COUNT_RD,2454698.000000,2454698.000000,0.000000,613674.500000
openmp,Full,CAS_COUNT_WR,1450982.000000,1450982.000000,0.000000,362745.500000
openmp,Full,CAS_COUNT_RD,2447131.000000,2447131.000000,0.000000,611782.750000
openmp,Full,CAS_COUNT_WR,1448958.000000,1448958.000000,0.000000,362239.500000
openmp,Full,INSTR_RETIRED_ANY,13567285187.000000,8172221866.000000,334238333.000000,3391821296.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,7751556727.000000,3731539737.000000,222317851.000000,1937889181.750000
openmp,Full,CPU_CLK_UNHALTED_REF,7752577770.000000,3731938140.000000,222304410.000000,1938144442.500000
openmp,Full,CAS_COUNT_RD,2449842.000000,2449842.000000,0.000000,612460.500000
openmp,Full,CAS_COUNT_WR,1448503.000000,1448503.000000,0.000000,362125.750000
openmp,Full,CAS_COUNT_RD,2446138.000000,2446138.000000,0.000000,611534.500000
openmp,Full,CAS_COUNT_WR,1448084.000000,1448084.000000,0.000000,362021.000000
openmp,Full,CAS_COUNT_RD,2454698.000000,2454698.000000,0.000000,613674.500000
openmp,Full,CAS_COUNT_WR,1450982.000000,1450982.000000,0.000000,362745.500000
openmp,Full,CAS_COUNT_RD,2447131.000000,2447131.000000,0.000000,611782.750000
openmp,Full,CAS_COUNT_WR,1448958.000000,1448958.000000,0.000000,362239.500000
