Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.015066
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.035886
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2998.646507
seq-perfmon,BaseStrainMapping applyJ,CPI,0.732238
seq-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],6.393140
seq-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],4.039785
seq-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],10.432924
seq-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.000157
seq-perfmon,BaseDeformationMultiMapping apply,Runtime (RDTSC) [s],0.013889
seq-perfmon,BaseDeformationMultiMapping apply,Runtime unhalted [s],0.019810
seq-perfmon,BaseDeformationMultiMapping apply,Clock [MHz],2994.597702
seq-perfmon,BaseDeformationMultiMapping apply,CPI,0.641802
seq-perfmon,BaseDeformationMultiMapping apply,Memory Read BW [MBytes/s],15.667492
seq-perfmon,BaseDeformationMultiMapping apply,Memory Write BW [MBytes/s],8.598688
seq-perfmon,BaseDeformationMultiMapping apply,Memory BW [MBytes/s],24.266180
seq-perfmon,BaseDeformationMultiMapping apply,Memory data volume [GBytes],0.000337
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime (RDTSC) [s],0.000049
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Runtime unhalted [s],0.002916
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Clock [MHz],3003.124965
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,CPI,3.476994
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory Read BW [MBytes/s],358.235279
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory Write BW [MBytes/s],240.547877
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory BW [MBytes/s],598.783156
seq-perfmon,BaseDeformationMultiMapping applyJT Mat seq,Memory data volume [GBytes],0.000030
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.009894
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.032112
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2998.893500
seq-perfmon,BaseStrainMapping applyJT,CPI,0.965657
seq-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],12.011642
seq-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],5.575679
seq-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],17.587320
seq-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.000174
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.001267
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002730
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2997.607860
seq-perfmon,BaseStrainMapping apply,CPI,0.697751
seq-perfmon,BaseStrainMapping apply,Memory Read BW [MBytes/s],16.213913
seq-perfmon,BaseStrainMapping apply,Memory Write BW [MBytes/s],7.677616
