Config,Expe,Metric,core 0
seq,Full,Simulation time [s],0.331512
seq,Full,Througput [FPS],301.648
seq,Full,Runtime (RDTSC) [s],3.779375
seq,Full,Runtime unhalted [s],2.205341
seq,Full,Clock [MHz],2992.732790
seq,Full,CPI,0.659942
seq,Full,Memory Read BW [MBytes/s],263.253074
seq,Full,Memory Write BW [MBytes/s],126.321837
seq,Full,Memory BW [MBytes/s],389.574911
seq,Full,Memory data volume [GBytes],1.472350
seq,Full,Runtime (RDTSC) [s],3.779375
seq,Full,Runtime unhalted [s],2.205341
seq,Full,Clock [MHz],2992.732790
seq,Full,CPI,0.659942
seq,Full,Memory Read BW [MBytes/s],263.253074
seq,Full,Memory Write BW [MBytes/s],126.321837
seq,Full,Memory BW [MBytes/s],389.574911
seq,Full,Memory data volume [GBytes],1.472350
seq,Full,Runtime (RDTSC) [s],3.779375
seq,Full,Runtime unhalted [s],2.205341
seq,Full,Clock [MHz],2992.732790
seq,Full,CPI,0.659942
seq,Full,Memory Read BW [MBytes/s],263.253074
seq,Full,Memory Write BW [MBytes/s],126.321837
seq,Full,Memory BW [MBytes/s],389.574911
seq,Full,Memory data volume [GBytes],1.472350
