Config,Expe,Event,core 0
seq,Full,Simulation time [s],0.330947
seq,Full,Througput [FPS],302.163
seq,Full,INSTR_RETIRED_ANY,9999986349.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6638936003.000000
seq,Full,CPU_CLK_UNHALTED_REF,6639172110.000000
seq,Full,CAS_COUNT_RD,3889321.000000
seq,Full,CAS_COUNT_WR,1865000.000000
seq,Full,CAS_COUNT_RD,3886342.000000
seq,Full,CAS_COUNT_WR,1864049.000000
seq,Full,CAS_COUNT_RD,3889076.000000
seq,Full,CAS_COUNT_WR,1866896.000000
seq,Full,CAS_COUNT_RD,3884436.000000
seq,Full,CAS_COUNT_WR,1865518.000000
seq,Full,INSTR_RETIRED_ANY,9999986349.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6638936003.000000
seq,Full,CPU_CLK_UNHALTED_REF,6639172110.000000
seq,Full,CAS_COUNT_RD,3889321.000000
seq,Full,CAS_COUNT_WR,1865000.000000
seq,Full,CAS_COUNT_RD,3886342.000000
seq,Full,CAS_COUNT_WR,1864049.000000
seq,Full,CAS_COUNT_RD,3889076.000000
seq,Full,CAS_COUNT_WR,1866896.000000
seq,Full,CAS_COUNT_RD,3884436.000000
seq,Full,CAS_COUNT_WR,1865518.000000
seq,Full,INSTR_RETIRED_ANY,9999986349.000000
seq,Full,CPU_CLK_UNHALTED_CORE,6638936003.000000
seq,Full,CPU_CLK_UNHALTED_REF,6639172110.000000
seq,Full,CAS_COUNT_RD,3889321.000000
seq,Full,CAS_COUNT_WR,1865000.000000
seq,Full,CAS_COUNT_RD,3886342.000000
seq,Full,CAS_COUNT_WR,1864049.000000
seq,Full,CAS_COUNT_RD,3889076.000000
seq,Full,CAS_COUNT_WR,1866896.000000
seq,Full,CAS_COUNT_RD,3884436.000000
seq,Full,CAS_COUNT_WR,1865518.000000
