Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.189309,0.047327,0.047327,0.047327
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.206565,0.052312,0.051268,0.051641
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11988.853394,2998.654561,2995.771711,2997.213349
openmp-perfmon,BaseStrainMapping applyJ,CPI,1.805995,0.452683,0.450515,0.451499
openmp-perfmon,BaseStrainMapping applyJ,Load to Store ratio,5.676060,1.420620,1.416194,1.419015
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.505982,0.126495,0.126495,0.126495
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.543585,0.136322,0.135340,0.135896
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11983.595216,2997.201330,2994.941678,2995.898804
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.305977,0.579632,0.571384,0.576494
openmp-perfmon,BaseDeformationMapping applyJ,Load to Store ratio,5.068481,1.268447,1.265568,1.267120
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.132826,0.033206,0.033206,0.033206
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.158914,0.040139,0.038797,0.039729
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11987.839286,2998.839032,2995.979631,2996.959821
openmp-perfmon,BaseStrainMapping applyJT,CPI,2.241942,0.568226,0.541626,0.560485
openmp-perfmon,BaseStrainMapping applyJT,Load to Store ratio,8.527568,2.137068,2.123032,2.131892
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.007683,0.001921,0.001921,0.001921
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.006744,0.001743,0.001660,0.001686
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],11981.653124,2996.252318,2994.395209,2995.413281
openmp-perfmon,BaseStrainMapping apply,CPI,1.788140,0.456649,0.442807,0.447035
openmp-perfmon,BaseStrainMapping apply,Load to Store ratio,5.397319,1.355904,1.345595,1.349330
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000427,0.000107,0.000107,0.000107
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.001752,0.001752,0.000000,0.000438
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3012.069332,3012.069332,0.000000,753.017333
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.476647,3.476647,0.000000,0.869162
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Load to Store ratio,2.490432,2.490432,0.000000,0.622608
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.001629,0.000407,0.000407,0.000407
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.011019,0.011019,0.000000,0.002755
openmp-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3020.942539,3020.942539,0.000000,755.235635
openmp-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.441598,3.441598,0.000000,0.860400
openmp-perfmon,BaseDeformationMapping applyJT vec else,Load to Store ratio,2.544444,2.544444,0.000000,0.636111
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.001598,0.000399,0.000399,0.000399
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.010046,0.010046,0.000000,0.002511
openmp-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3016.946548,3016.946548,0.000000,754.236637
openmp-perfmon,BaseDeformationMapping applyJ else,CPI,3.501557,3.501557,0.000000,0.875389
openmp-perfmon,BaseDeformationMapping applyJ else,Load to Store ratio,2.554526,2.554526,0.000000,0.638632
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.679133,0.169783,0.169783,0.169783
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.453508,0.163050,0.094705,0.113377
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11983.521144,2997.121530,2994.165273,2995.880286
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,4.111834,1.095484,0.864517,1.027959
openmp-perfmon,BaseDeformationMapping applyJT vec,Load to Store ratio,17.655512,4.443912,4.343334,4.413878
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.103965,0.025991,0.025991,0.025991
