Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.913281
openmp,Full,Througput [FPS],109.495
openmp,Full,Runtime (RDTSC) [s],11.755507,2.938877,2.938877,2.938877
openmp,Full,Runtime unhalted [s],3.485491,1.544434,0.270617,0.871373
openmp,Full,Clock [MHz],11970.680940,2992.912459,2992.108847,2992.670235
openmp,Full,CPI,2.257874,0.716382,0.441545,0.564469
openmp,Full,Load to Store ratio,7.306038,1.947574,1.682673,1.826510
openmp,Full,Runtime (RDTSC) [s],11.755507,2.938877,2.938877,2.938877
openmp,Full,Runtime unhalted [s],3.485491,1.544434,0.270617,0.871373
openmp,Full,Clock [MHz],11970.680940,2992.912459,2992.108847,2992.670235
openmp,Full,CPI,2.257874,0.716382,0.441545,0.564469
openmp,Full,Load to Store ratio,7.306038,1.947574,1.682673,1.826510
openmp,Full,Runtime (RDTSC) [s],11.755507,2.938877,2.938877,2.938877
openmp,Full,Runtime unhalted [s],3.485491,1.544434,0.270617,0.871373
openmp,Full,Clock [MHz],11970.680940,2992.912459,2992.108847,2992.670235
openmp,Full,CPI,2.257874,0.716382,0.441545,0.564469
openmp,Full,Load to Store ratio,7.306038,1.947574,1.682673,1.826510
