Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.915449
openmp,Full,Througput [FPS],109.236
openmp,Full,INSTR_RETIRED_ANY,18802572742.000000,9126673985.000000,1494321069.000000,4700643185.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,10461485976.000000,4645759446.000000,810325207.000000,2615371494.000000
openmp,Full,CPU_CLK_UNHALTED_REF,10462222860.000000,4645865970.000000,810286350.000000,2615555715.000000
openmp,Full,MEM_UOP_RETIRED_LOADS,3920942334.000000,1653764157.000000,391592792.000000,980235583.500000
openmp,Full,MEM_UOP_RETIRED_STORES,2172129397.000000,982665759.000000,226041289.000000,543032349.250000
openmp,Full,INSTR_RETIRED_ANY,18802572742.000000,9126673985.000000,1494321069.000000,4700643185.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,10461485976.000000,4645759446.000000,810325207.000000,2615371494.000000
openmp,Full,CPU_CLK_UNHALTED_REF,10462222860.000000,4645865970.000000,810286350.000000,2615555715.000000
openmp,Full,MEM_UOP_RETIRED_LOADS,3920942334.000000,1653764157.000000,391592792.000000,980235583.500000
openmp,Full,MEM_UOP_RETIRED_STORES,2172129397.000000,982665759.000000,226041289.000000,543032349.250000
openmp,Full,INSTR_RETIRED_ANY,18802572742.000000,9126673985.000000,1494321069.000000,4700643185.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,10461485976.000000,4645759446.000000,810325207.000000,2615371494.000000
openmp,Full,CPU_CLK_UNHALTED_REF,10462222860.000000,4645865970.000000,810286350.000000,2615555715.000000
openmp,Full,MEM_UOP_RETIRED_LOADS,3920942334.000000,1653764157.000000,391592792.000000,980235583.500000
openmp,Full,MEM_UOP_RETIRED_STORES,2172129397.000000,982665759.000000,226041289.000000,543032349.250000
