Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.127569
seq-perfmon,BaseStrainMapping applyJ,call count,3038.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.352444
seq-perfmon,BaseDeformationMapping applyJ,call count,6286.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.082971
seq-perfmon,BaseStrainMapping applyJT,call count,3232.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005305
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000108
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000343
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3232.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000299
seq-perfmon,BaseDeformationMapping applyJ else,call count,2828.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.257313
seq-perfmon,BaseDeformationMapping applyJT vec,call count,6464.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.054579
seq-perfmon,BaseStrainMapping applyDJT,call count,1511.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.056650
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.899981
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.127569
seq-perfmon,BaseStrainMapping applyJ,call count,3038.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.352444
seq-perfmon,BaseDeformationMapping applyJ,call count,6286.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.082971
seq-perfmon,BaseStrainMapping applyJT,call count,3232.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005305
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000108
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000343
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3232.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000299
seq-perfmon,BaseDeformationMapping applyJ else,call count,2828.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.257313
seq-perfmon,BaseDeformationMapping applyJT vec,call count,6464.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.054579
seq-perfmon,BaseStrainMapping applyDJT,call count,1511.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.056650
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.899981
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.127569
seq-perfmon,BaseStrainMapping applyJ,call count,3038.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.352444
seq-perfmon,BaseDeformationMapping applyJ,call count,6286.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.082971
seq-perfmon,BaseStrainMapping applyJT,call count,3232.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005305
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000108
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000343
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3232.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000299
seq-perfmon,BaseDeformationMapping applyJ else,call count,2828.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.257313
seq-perfmon,BaseDeformationMapping applyJT vec,call count,6464.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.054579
seq-perfmon,BaseStrainMapping applyDJT,call count,1511.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.056650
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],2.899981
seq-perfmon,Simu,call count,1.000000
