Config,Expe,Metric,core 0
seq,Full,Simulation time [s],1.3444
seq,Full,Througput [FPS],74.3829
seq,Full,Runtime (RDTSC) [s],4.578819
seq,Full,Runtime unhalted [s],3.020941
seq,Full,Clock [MHz],2992.724946
seq,Full,CPI,0.598046
seq,Full,Load to Store ratio,1.989312
seq,Full,Runtime (RDTSC) [s],4.578819
seq,Full,Runtime unhalted [s],3.020941
seq,Full,Clock [MHz],2992.724946
seq,Full,CPI,0.598046
seq,Full,Load to Store ratio,1.989312
seq,Full,Runtime (RDTSC) [s],4.578819
seq,Full,Runtime unhalted [s],3.020941
seq,Full,Clock [MHz],2992.724946
seq,Full,CPI,0.598046
seq,Full,Load to Store ratio,1.989312
