Config,Expe,Event,core 0
seq,Full,Simulation time [s],1.33993
seq,Full,Througput [FPS],74.6309
seq,Full,INSTR_RETIRED_ANY,15059573178.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9018700393.000000
seq,Full,CPU_CLK_UNHALTED_REF,9018849120.000000
seq,Full,MEM_UOP_RETIRED_LOADS,3646689179.000000
seq,Full,MEM_UOP_RETIRED_STORES,1830277906.000000
seq,Full,INSTR_RETIRED_ANY,15059573178.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9018700393.000000
seq,Full,CPU_CLK_UNHALTED_REF,9018849120.000000
seq,Full,MEM_UOP_RETIRED_LOADS,3646689179.000000
seq,Full,MEM_UOP_RETIRED_STORES,1830277906.000000
seq,Full,INSTR_RETIRED_ANY,15059573178.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9018700393.000000
seq,Full,CPU_CLK_UNHALTED_REF,9018849120.000000
seq,Full,MEM_UOP_RETIRED_LOADS,3646689179.000000
seq,Full,MEM_UOP_RETIRED_STORES,1830277906.000000
