Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.190533,0.047633,0.047633,0.047633
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.206114,0.052219,0.051105,0.051529
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11985.976840,2998.050739,2995.538818,2996.494210
openmp-perfmon,BaseStrainMapping applyJ,CPI,1.803900,0.453437,0.447957,0.450975
openmp-perfmon,BaseStrainMapping applyJ,L2 Load [MBytes/s],16922.648470,4319.131094,4188.801937,4230.662117
openmp-perfmon,BaseStrainMapping applyJ,L2 Evict [MBytes/s],4922.928610,1307.689168,1150.555201,1230.732153
openmp-perfmon,BaseStrainMapping applyJ,L2 bandwidth [MBytes/s],21845.577080,5626.820262,5344.104075,5461.394270
openmp-perfmon,BaseStrainMapping applyJ,L2 data volume [GBytes],1.040576,0.268024,0.254557,0.260144
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.514461,0.128615,0.128615,0.128615
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.544092,0.136962,0.135526,0.136023
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11986.035872,2997.463694,2995.191514,2996.508968
openmp-perfmon,BaseDeformationMapping applyJ,CPI,2.310585,0.579479,0.576113,0.577646
openmp-perfmon,BaseDeformationMapping applyJ,L2 Load [MBytes/s],25386.237397,6359.867885,6321.984960,6346.559349
openmp-perfmon,BaseDeformationMapping applyJ,L2 Evict [MBytes/s],4308.100193,1127.255130,1019.041731,1077.025048
openmp-perfmon,BaseDeformationMapping applyJ,L2 bandwidth [MBytes/s],29694.337590,7487.123015,7376.113057,7423.584397
openmp-perfmon,BaseDeformationMapping applyJ,L2 data volume [GBytes],3.819143,0.962958,0.948680,0.954786
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.133714,0.033429,0.033429,0.033429
