Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.910514
openmp,Full,Througput [FPS],109.828
openmp,Full,INSTR_RETIRED_ANY,18846935391.000000,9127414256.000000,1501334800.000000,4711733847.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,10438579396.000000,4621944904.000000,811196306.000000,2609644849.000000
openmp,Full,CPU_CLK_UNHALTED_REF,10439691690.000000,4622014530.000000,811213230.000000,2609922922.500000
openmp,Full,L1D_REPLACEMENT,324446808.000000,203391511.000000,31856728.000000,81111702.000000
openmp,Full,L1D_M_EVICT,35464298.000000,19768516.000000,3734260.000000,8866074.500000
openmp,Full,INSTR_RETIRED_ANY,18846935391.000000,9127414256.000000,1501334800.000000,4711733847.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,10438579396.000000,4621944904.000000,811196306.000000,2609644849.000000
openmp,Full,CPU_CLK_UNHALTED_REF,10439691690.000000,4622014530.000000,811213230.000000,2609922922.500000
openmp,Full,L1D_REPLACEMENT,324446808.000000,203391511.000000,31856728.000000,81111702.000000
openmp,Full,L1D_M_EVICT,35464298.000000,19768516.000000,3734260.000000,8866074.500000
openmp,Full,INSTR_RETIRED_ANY,18846935391.000000,9127414256.000000,1501334800.000000,4711733847.750000
openmp,Full,CPU_CLK_UNHALTED_CORE,10438579396.000000,4621944904.000000,811196306.000000,2609644849.000000
openmp,Full,CPU_CLK_UNHALTED_REF,10439691690.000000,4622014530.000000,811213230.000000,2609922922.500000
openmp,Full,L1D_REPLACEMENT,324446808.000000,203391511.000000,31856728.000000,81111702.000000
openmp,Full,L1D_M_EVICT,35464298.000000,19768516.000000,3734260.000000,8866074.500000
