Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.125949
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.139720
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2993.509582
seq-perfmon,BaseStrainMapping applyJ,CPI,0.371449
seq-perfmon,BaseStrainMapping applyJ,L2 Load [MBytes/s],4717.286591
seq-perfmon,BaseStrainMapping applyJ,L2 Evict [MBytes/s],1157.186392
seq-perfmon,BaseStrainMapping applyJ,L2 bandwidth [MBytes/s],5874.472982
seq-perfmon,BaseStrainMapping applyJ,L2 data volume [GBytes],0.739886
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.349371
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.378719
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2993.446079
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.479825
seq-perfmon,BaseDeformationMapping applyJ,L2 Load [MBytes/s],7099.080663
seq-perfmon,BaseDeformationMapping applyJ,L2 Evict [MBytes/s],787.003260
seq-perfmon,BaseDeformationMapping applyJ,L2 bandwidth [MBytes/s],7886.083923
seq-perfmon,BaseDeformationMapping applyJ,L2 data volume [GBytes],2.755171
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.081949
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.096862
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2993.867119
seq-perfmon,BaseStrainMapping applyJT,CPI,0.410278
seq-perfmon,BaseStrainMapping applyJT,L2 Load [MBytes/s],7717.074305
seq-perfmon,BaseStrainMapping applyJT,L2 Evict [MBytes/s],2541.102427
seq-perfmon,BaseStrainMapping applyJT,L2 bandwidth [MBytes/s],10258.176733
seq-perfmon,BaseStrainMapping applyJT,L2 data volume [GBytes],0.840645
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.005222
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.005712
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2994.067985
seq-perfmon,BaseStrainMapping apply,CPI,0.376297
seq-perfmon,BaseStrainMapping apply,L2 Load [MBytes/s],3760.536784
