Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,1156093000.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,433515500.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,433455300.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_REPLACEMENT,9576157.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_M_EVICT,2376068.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,2425008000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,1171868000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,1171662000.000000
seq-perfmon,BaseDeformationMapping applyJ,L1D_REPLACEMENT,39914220.000000
seq-perfmon,BaseDeformationMapping applyJ,L1D_M_EVICT,4487372.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,724459400.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,301974600.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,301920800.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_REPLACEMENT,10173250.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_M_EVICT,3361911.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,45425100.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,17322620.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,17319750.000000
seq-perfmon,BaseStrainMapping apply,L1D_REPLACEMENT,309174.000000
seq-perfmon,BaseStrainMapping apply,L1D_M_EVICT,174920.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,2556748.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,8742909.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,8729160.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_REPLACEMENT,91708.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_M_EVICT,28024.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,13784220.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,46426230.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,46295910.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L1D_REPLACEMENT,461119.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L1D_M_EVICT,127117.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,12108340.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,41847920.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,41724960.000000
seq-perfmon,BaseDeformationMapping applyJ else,L1D_REPLACEMENT,399676.000000
seq-perfmon,BaseDeformationMapping applyJ else,L1D_M_EVICT,110925.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,1132779000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,878171100.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,878031200.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L1D_REPLACEMENT,77734070.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L1D_M_EVICT,1944652.000000
seq-perfmon,BaseStrainMapping applyDJT,INSTR_RETIRED_ANY,506287600.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_CORE,189073400.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_REF,189070900.000000
seq-perfmon,BaseStrainMapping applyDJT,L1D_REPLACEMENT,5670228.000000
seq-perfmon,BaseStrainMapping applyDJT,L1D_M_EVICT,1631477.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,329369000.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,187895300.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,187872300.000000
seq-perfmon,BaseDeformationMapping apply,L1D_REPLACEMENT,5887552.000000
seq-perfmon,BaseDeformationMapping apply,L1D_M_EVICT,520750.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,9066484000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,5748904000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,5749088000.000000
seq-perfmon,Simu,L1D_REPLACEMENT,198962800.000000
seq-perfmon,Simu,L1D_M_EVICT,29454420.000000
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,1156093000.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,433515500.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,433455300.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_REPLACEMENT,9576157.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_M_EVICT,2376068.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,2425008000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,1171868000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,1171662000.000000
seq-perfmon,BaseDeformationMapping applyJ,L1D_REPLACEMENT,39914220.000000
seq-perfmon,BaseDeformationMapping applyJ,L1D_M_EVICT,4487372.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,724459400.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,301974600.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,301920800.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_REPLACEMENT,10173250.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_M_EVICT,3361911.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,45425100.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,17322620.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,17319750.000000
seq-perfmon,BaseStrainMapping apply,L1D_REPLACEMENT,309174.000000
seq-perfmon,BaseStrainMapping apply,L1D_M_EVICT,174920.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,2556748.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,8742909.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,8729160.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_REPLACEMENT,91708.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_M_EVICT,28024.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,13784220.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,46426230.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,46295910.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L1D_REPLACEMENT,461119.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L1D_M_EVICT,127117.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,12108340.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,41847920.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,41724960.000000
seq-perfmon,BaseDeformationMapping applyJ else,L1D_REPLACEMENT,399676.000000
seq-perfmon,BaseDeformationMapping applyJ else,L1D_M_EVICT,110925.000000
seq-perfmon,BaseDeformationMapping applyJT vec,INSTR_RETIRED_ANY,1132779000.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_CORE,878171100.000000
seq-perfmon,BaseDeformationMapping applyJT vec,CPU_CLK_UNHALTED_REF,878031200.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L1D_REPLACEMENT,77734070.000000
seq-perfmon,BaseDeformationMapping applyJT vec,L1D_M_EVICT,1944652.000000
seq-perfmon,BaseStrainMapping applyDJT,INSTR_RETIRED_ANY,506287600.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_CORE,189073400.000000
seq-perfmon,BaseStrainMapping applyDJT,CPU_CLK_UNHALTED_REF,189070900.000000
seq-perfmon,BaseStrainMapping applyDJT,L1D_REPLACEMENT,5670228.000000
seq-perfmon,BaseStrainMapping applyDJT,L1D_M_EVICT,1631477.000000
seq-perfmon,BaseDeformationMapping apply,INSTR_RETIRED_ANY,329369000.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_CORE,187895300.000000
seq-perfmon,BaseDeformationMapping apply,CPU_CLK_UNHALTED_REF,187872300.000000
seq-perfmon,BaseDeformationMapping apply,L1D_REPLACEMENT,5887552.000000
seq-perfmon,BaseDeformationMapping apply,L1D_M_EVICT,520750.000000
seq-perfmon,Simu,INSTR_RETIRED_ANY,9066484000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_CORE,5748904000.000000
seq-perfmon,Simu,CPU_CLK_UNHALTED_REF,5749088000.000000
seq-perfmon,Simu,L1D_REPLACEMENT,198962800.000000
seq-perfmon,Simu,L1D_M_EVICT,29454420.000000
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,1156093000.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,433515500.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,433455300.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_REPLACEMENT,9576157.000000
seq-perfmon,BaseStrainMapping applyJ,L1D_M_EVICT,2376068.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,2425008000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,1171868000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,1171662000.000000
seq-perfmon,BaseDeformationMapping applyJ,L1D_REPLACEMENT,39914220.000000
seq-perfmon,BaseDeformationMapping applyJ,L1D_M_EVICT,4487372.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,724459400.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,301974600.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,301920800.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_REPLACEMENT,10173250.000000
seq-perfmon,BaseStrainMapping applyJT,L1D_M_EVICT,3361911.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,45425100.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,17322620.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,17319750.000000
seq-perfmon,BaseStrainMapping apply,L1D_REPLACEMENT,309174.000000
seq-perfmon,BaseStrainMapping apply,L1D_M_EVICT,174920.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,2556748.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,8742909.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,8729160.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_REPLACEMENT,91708.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,L1D_M_EVICT,28024.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,13784220.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,46426230.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,46295910.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L1D_REPLACEMENT,461119.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,L1D_M_EVICT,127117.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,12108340.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,41847920.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,41724960.000000
seq-perfmon,BaseDeformationMapping applyJ else,L1D_REPLACEMENT,399676.000000
seq-perfmon,BaseDeformationMapping applyJ else,L1D_M_EVICT,110925.000000
