Config,Expe,Event,core 0
seq,Full,Simulation time [s],1.36109
seq,Full,Througput [FPS],73.4707
seq,Full,INSTR_RETIRED_ANY,15198298114.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9074772002.000000
seq,Full,CPU_CLK_UNHALTED_REF,9074999100.000000
seq,Full,L1D_REPLACEMENT,299478255.000000
seq,Full,L1D_M_EVICT,25925043.000000
seq,Full,INSTR_RETIRED_ANY,15198298114.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9074772002.000000
seq,Full,CPU_CLK_UNHALTED_REF,9074999100.000000
seq,Full,L1D_REPLACEMENT,299478255.000000
seq,Full,L1D_M_EVICT,25925043.000000
seq,Full,INSTR_RETIRED_ANY,15198298114.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9074772002.000000
seq,Full,CPU_CLK_UNHALTED_REF,9074999100.000000
seq,Full,L1D_REPLACEMENT,299478255.000000
seq,Full,L1D_M_EVICT,25925043.000000
