Config,Expe,Metric,core 0
seq,Full,Simulation time [s],1.3543
seq,Full,Througput [FPS],73.8389
seq,Full,Runtime (RDTSC) [s],4.586256
seq,Full,Runtime unhalted [s],3.028483
seq,Full,Clock [MHz],2992.640054
seq,Full,CPI,0.598339
seq,Full,L2 Load [MBytes/s],4192.083824
seq,Full,L2 Evict [MBytes/s],362.411460
seq,Full,L2 bandwidth [MBytes/s],4554.495284
seq,Full,L2 data volume [GBytes],20.888083
seq,Full,Runtime (RDTSC) [s],4.586256
seq,Full,Runtime unhalted [s],3.028483
seq,Full,Clock [MHz],2992.640054
seq,Full,CPI,0.598339
seq,Full,L2 Load [MBytes/s],4192.083824
seq,Full,L2 Evict [MBytes/s],362.411460
seq,Full,L2 bandwidth [MBytes/s],4554.495284
seq,Full,L2 data volume [GBytes],20.888083
seq,Full,Runtime (RDTSC) [s],4.586256
seq,Full,Runtime unhalted [s],3.028483
seq,Full,Clock [MHz],2992.640054
seq,Full,CPI,0.598339
seq,Full,L2 Load [MBytes/s],4192.083824
seq,Full,L2 Evict [MBytes/s],362.411460
seq,Full,L2 bandwidth [MBytes/s],4554.495284
seq,Full,L2 data volume [GBytes],20.888083
