Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.908584
openmp,Full,Througput [FPS],110.061
openmp,Full,INSTR_RETIRED_ANY,18762130896.000000,9115864656.000000,1481884665.000000,4690532724.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,10404500609.000000,4608879099.000000,803183045.000000,2601125152.250000
openmp,Full,CPU_CLK_UNHALTED_REF,10405322520.000000,4609172970.000000,803177070.000000,2601330630.000000
openmp,Full,L2_TRANS_ALL_REQUESTS,767861803.000000,424836633.000000,88409598.000000,191965450.750000
openmp,Full,L2_RQSTS_MISS,202957047.000000,100067933.000000,27533974.000000,50739261.750000
openmp,Full,INSTR_RETIRED_ANY,18762130896.000000,9115864656.000000,1481884665.000000,4690532724.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,10404500609.000000,4608879099.000000,803183045.000000,2601125152.250000
openmp,Full,CPU_CLK_UNHALTED_REF,10405322520.000000,4609172970.000000,803177070.000000,2601330630.000000
openmp,Full,L2_TRANS_ALL_REQUESTS,767861803.000000,424836633.000000,88409598.000000,191965450.750000
openmp,Full,L2_RQSTS_MISS,202957047.000000,100067933.000000,27533974.000000,50739261.750000
openmp,Full,INSTR_RETIRED_ANY,18762130896.000000,9115864656.000000,1481884665.000000,4690532724.000000
openmp,Full,CPU_CLK_UNHALTED_CORE,10404500609.000000,4608879099.000000,803183045.000000,2601125152.250000
openmp,Full,CPU_CLK_UNHALTED_REF,10405322520.000000,4609172970.000000,803177070.000000,2601330630.000000
openmp,Full,L2_TRANS_ALL_REQUESTS,767861803.000000,424836633.000000,88409598.000000,191965450.750000
openmp,Full,L2_RQSTS_MISS,202957047.000000,100067933.000000,27533974.000000,50739261.750000
