Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.910343
openmp,Full,Througput [FPS],109.849
openmp,Full,Runtime (RDTSC) [s],11.791481,2.947870,2.947870,2.947870
openmp,Full,Runtime unhalted [s],3.493961,1.551848,0.270872,0.873490
openmp,Full,Clock [MHz],11970.801576,2992.875822,2992.480473,2992.700394
openmp,Full,CPI,2.261626,0.719351,0.441640,0.565406
openmp,Full,L2 request rate,0.211531,0.071029,0.014453,0.052883
openmp,Full,L2 miss rate,0.060753,0.022574,0.003988,0.015188
openmp,Full,L2 miss ratio,1.140069,0.317808,0.234832,0.285017
openmp,Full,Runtime (RDTSC) [s],11.791481,2.947870,2.947870,2.947870
openmp,Full,Runtime unhalted [s],3.493961,1.551848,0.270872,0.873490
openmp,Full,Clock [MHz],11970.801576,2992.875822,2992.480473,2992.700394
openmp,Full,CPI,2.261626,0.719351,0.441640,0.565406
openmp,Full,L2 request rate,0.211531,0.071029,0.014453,0.052883
openmp,Full,L2 miss rate,0.060753,0.022574,0.003988,0.015188
openmp,Full,L2 miss ratio,1.140069,0.317808,0.234832,0.285017
openmp,Full,Runtime (RDTSC) [s],11.791481,2.947870,2.947870,2.947870
openmp,Full,Runtime unhalted [s],3.493961,1.551848,0.270872,0.873490
openmp,Full,Clock [MHz],11970.801576,2992.875822,2992.480473,2992.700394
openmp,Full,CPI,2.261626,0.719351,0.441640,0.565406
openmp,Full,L2 request rate,0.211531,0.071029,0.014453,0.052883
openmp,Full,L2 miss rate,0.060753,0.022574,0.003988,0.015188
openmp,Full,L2 miss ratio,1.140069,0.317808,0.234832,0.285017
