Config,Expe,Metric,core 0
seq,Full,Simulation time [s],1.36545
seq,Full,Througput [FPS],73.2359
seq,Full,Runtime (RDTSC) [s],4.601043
seq,Full,Runtime unhalted [s],3.041271
seq,Full,Clock [MHz],2992.733554
seq,Full,CPI,0.599777
seq,Full,L2 request rate,0.044612
seq,Full,L2 miss rate,0.012069
seq,Full,L2 miss ratio,0.270528
seq,Full,Runtime (RDTSC) [s],4.601043
seq,Full,Runtime unhalted [s],3.041271
seq,Full,Clock [MHz],2992.733554
seq,Full,CPI,0.599777
seq,Full,L2 request rate,0.044612
seq,Full,L2 miss rate,0.012069
seq,Full,L2 miss ratio,0.270528
seq,Full,Runtime (RDTSC) [s],4.601043
seq,Full,Runtime unhalted [s],3.041271
seq,Full,Clock [MHz],2992.733554
seq,Full,CPI,0.599777
seq,Full,L2 request rate,0.044612
seq,Full,L2 miss rate,0.012069
seq,Full,L2 miss ratio,0.270528
