Config,Expe,Event,core 0
seq,Full,Simulation time [s],1.36433
seq,Full,Througput [FPS],73.2963
seq,Full,INSTR_RETIRED_ANY,15203784801.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9100768587.000000
seq,Full,CPU_CLK_UNHALTED_REF,9100780530.000000
seq,Full,L2_TRANS_ALL_REQUESTS,680667848.000000
seq,Full,L2_RQSTS_MISS,185342095.000000
seq,Full,INSTR_RETIRED_ANY,15203784801.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9100768587.000000
seq,Full,CPU_CLK_UNHALTED_REF,9100780530.000000
seq,Full,L2_TRANS_ALL_REQUESTS,680667848.000000
seq,Full,L2_RQSTS_MISS,185342095.000000
seq,Full,INSTR_RETIRED_ANY,15203784801.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9100768587.000000
seq,Full,CPU_CLK_UNHALTED_REF,9100780530.000000
seq,Full,L2_TRANS_ALL_REQUESTS,680667848.000000
seq,Full,L2_RQSTS_MISS,185342095.000000
