Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.909447
openmp,Full,Througput [FPS],109.957
openmp,Full,Runtime (RDTSC) [s],11.764227,2.941057,2.941057,2.941057
openmp,Full,Runtime unhalted [s],3.480768,1.545155,0.270873,0.870192
openmp,Full,Clock [MHz],11970.762658,2992.919114,2992.416788,2992.690664
openmp,Full,CPI,2.257677,0.718362,0.441696,0.564419
openmp,Full,L3 Load [MBytes/s],4169.499469,1992.997230,594.105779,1042.374867
openmp,Full,L3 Evict [MBytes/s],336.700147,225.415735,21.134478,84.175037
openmp,Full,L3 bandwidth [MBytes/s],4506.199616,2218.412966,615.240256,1126.549904
openmp,Full,L3 data volume [GBytes],13.252988,6.524478,1.809456,3.313247
openmp,Full,Runtime (RDTSC) [s],11.764227,2.941057,2.941057,2.941057
openmp,Full,Runtime unhalted [s],3.480768,1.545155,0.270873,0.870192
openmp,Full,Clock [MHz],11970.762658,2992.919114,2992.416788,2992.690664
openmp,Full,CPI,2.257677,0.718362,0.441696,0.564419
openmp,Full,L3 Load [MBytes/s],4169.499469,1992.997230,594.105779,1042.374867
openmp,Full,L3 Evict [MBytes/s],336.700147,225.415735,21.134478,84.175037
openmp,Full,L3 bandwidth [MBytes/s],4506.199616,2218.412966,615.240256,1126.549904
openmp,Full,L3 data volume [GBytes],13.252988,6.524478,1.809456,3.313247
openmp,Full,Runtime (RDTSC) [s],11.764227,2.941057,2.941057,2.941057
openmp,Full,Runtime unhalted [s],3.480768,1.545155,0.270873,0.870192
openmp,Full,Clock [MHz],11970.762658,2992.919114,2992.416788,2992.690664
openmp,Full,CPI,2.257677,0.718362,0.441696,0.564419
openmp,Full,L3 Load [MBytes/s],4169.499469,1992.997230,594.105779,1042.374867
openmp,Full,L3 Evict [MBytes/s],336.700147,225.415735,21.134478,84.175037
openmp,Full,L3 bandwidth [MBytes/s],4506.199616,2218.412966,615.240256,1126.549904
openmp,Full,L3 data volume [GBytes],13.252988,6.524478,1.809456,3.313247
