Config,Expe,Metric,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.920127
openmp,Full,Througput [FPS],108.681
openmp,Full,Runtime (RDTSC) [s],11.808772,2.952193,2.952193,2.952193
openmp,Full,Runtime unhalted [s],3.501581,1.553223,0.273127,0.875395
openmp,Full,Clock [MHz],11970.698872,2992.864856,2992.499106,2992.674718
openmp,Full,CPI,2.261310,0.718037,0.442519,0.565328
openmp,Full,Memory Read BW [MBytes/s],215.911951,215.911951,0.000000,53.977988
openmp,Full,Memory Write BW [MBytes/s],128.233002,128.233002,0.000000,32.058251
openmp,Full,Memory BW [MBytes/s],344.144954,344.144954,0.000000,86.036238
openmp,Full,Memory data volume [GBytes],1.015982,1.015982,0.000000,0.253996
openmp,Full,Runtime (RDTSC) [s],11.808772,2.952193,2.952193,2.952193
openmp,Full,Runtime unhalted [s],3.501581,1.553223,0.273127,0.875395
openmp,Full,Clock [MHz],11970.698872,2992.864856,2992.499106,2992.674718
openmp,Full,CPI,2.261310,0.718037,0.442519,0.565328
openmp,Full,Memory Read BW [MBytes/s],215.911951,215.911951,0.000000,53.977988
openmp,Full,Memory Write BW [MBytes/s],128.233002,128.233002,0.000000,32.058251
openmp,Full,Memory BW [MBytes/s],344.144954,344.144954,0.000000,86.036238
openmp,Full,Memory data volume [GBytes],1.015982,1.015982,0.000000,0.253996
openmp,Full,Runtime (RDTSC) [s],11.808772,2.952193,2.952193,2.952193
openmp,Full,Runtime unhalted [s],3.501581,1.553223,0.273127,0.875395
openmp,Full,Clock [MHz],11970.698872,2992.864856,2992.499106,2992.674718
openmp,Full,CPI,2.261310,0.718037,0.442519,0.565328
openmp,Full,Memory Read BW [MBytes/s],215.911951,215.911951,0.000000,53.977988
openmp,Full,Memory Write BW [MBytes/s],128.233002,128.233002,0.000000,32.058251
openmp,Full,Memory BW [MBytes/s],344.144954,344.144954,0.000000,86.036238
openmp,Full,Memory data volume [GBytes],1.015982,1.015982,0.000000,0.253996
