Config,Expe,Event,Sum,Max,Min,Avg
openmp,Full,Simulation time [s],0.933485
openmp,Full,Througput [FPS],107.125
openmp,Full,INSTR_RETIRED_ANY,18965921502.000000,9151992343.000000,1521562753.000000,4741480375.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,10532336411.000000,4674262862.000000,825948906.000000,2633084102.750000
openmp,Full,CPU_CLK_UNHALTED_REF,10532730360.000000,4674257100.000000,825920040.000000,2633182590.000000
openmp,Full,CAS_COUNT_RD,2483896.000000,2483896.000000,0.000000,620974.000000
openmp,Full,CAS_COUNT_WR,1474101.000000,1474101.000000,0.000000,368525.250000
openmp,Full,CAS_COUNT_RD,2479219.000000,2479219.000000,0.000000,619804.750000
openmp,Full,CAS_COUNT_WR,1473233.000000,1473233.000000,0.000000,368308.250000
openmp,Full,CAS_COUNT_RD,2494618.000000,2494618.000000,0.000000,623654.500000
openmp,Full,CAS_COUNT_WR,1476649.000000,1476649.000000,0.000000,369162.250000
openmp,Full,CAS_COUNT_RD,2479934.000000,2479934.000000,0.000000,619983.500000
openmp,Full,CAS_COUNT_WR,1473449.000000,1473449.000000,0.000000,368362.250000
openmp,Full,INSTR_RETIRED_ANY,18965921502.000000,9151992343.000000,1521562753.000000,4741480375.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,10532336411.000000,4674262862.000000,825948906.000000,2633084102.750000
openmp,Full,CPU_CLK_UNHALTED_REF,10532730360.000000,4674257100.000000,825920040.000000,2633182590.000000
openmp,Full,CAS_COUNT_RD,2483896.000000,2483896.000000,0.000000,620974.000000
openmp,Full,CAS_COUNT_WR,1474101.000000,1474101.000000,0.000000,368525.250000
openmp,Full,CAS_COUNT_RD,2479219.000000,2479219.000000,0.000000,619804.750000
openmp,Full,CAS_COUNT_WR,1473233.000000,1473233.000000,0.000000,368308.250000
openmp,Full,CAS_COUNT_RD,2494618.000000,2494618.000000,0.000000,623654.500000
openmp,Full,CAS_COUNT_WR,1476649.000000,1476649.000000,0.000000,369162.250000
openmp,Full,CAS_COUNT_RD,2479934.000000,2479934.000000,0.000000,619983.500000
openmp,Full,CAS_COUNT_WR,1473449.000000,1473449.000000,0.000000,368362.250000
openmp,Full,INSTR_RETIRED_ANY,18965921502.000000,9151992343.000000,1521562753.000000,4741480375.500000
openmp,Full,CPU_CLK_UNHALTED_CORE,10532336411.000000,4674262862.000000,825948906.000000,2633084102.750000
openmp,Full,CPU_CLK_UNHALTED_REF,10532730360.000000,4674257100.000000,825920040.000000,2633182590.000000
openmp,Full,CAS_COUNT_RD,2483896.000000,2483896.000000,0.000000,620974.000000
openmp,Full,CAS_COUNT_WR,1474101.000000,1474101.000000,0.000000,368525.250000
openmp,Full,CAS_COUNT_RD,2479219.000000,2479219.000000,0.000000,619804.750000
openmp,Full,CAS_COUNT_WR,1473233.000000,1473233.000000,0.000000,368308.250000
openmp,Full,CAS_COUNT_RD,2494618.000000,2494618.000000,0.000000,623654.500000
openmp,Full,CAS_COUNT_WR,1476649.000000,1476649.000000,0.000000,369162.250000
openmp,Full,CAS_COUNT_RD,2479934.000000,2479934.000000,0.000000,619983.500000
openmp,Full,CAS_COUNT_WR,1473449.000000,1473449.000000,0.000000,368362.250000
