Config,Expe,Event,core 0
seq-perfmon,BaseStrainMapping applyJ,INSTR_RETIRED_ANY,1384107000.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_CORE,614761100.000000
seq-perfmon,BaseStrainMapping applyJ,CPU_CLK_UNHALTED_REF,614632000.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,2105.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,577.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,1783.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,492.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,2418.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,700.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_RD,1954.000000
seq-perfmon,BaseStrainMapping applyJ,CAS_COUNT_WR,661.000000
seq-perfmon,BaseDeformationMapping applyJ,INSTR_RETIRED_ANY,2896587000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_CORE,1593930000.000000
seq-perfmon,BaseDeformationMapping applyJ,CPU_CLK_UNHALTED_REF,1593876000.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,109601.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,17515.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,87715.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,14019.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,108289.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,17537.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_RD,84651.000000
seq-perfmon,BaseDeformationMapping applyJ,CAS_COUNT_WR,13030.000000
seq-perfmon,BaseStrainMapping applyJT,INSTR_RETIRED_ANY,872154100.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_CORE,462250200.000000
seq-perfmon,BaseStrainMapping applyJT,CPU_CLK_UNHALTED_REF,462174900.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,3353.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,834.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,3094.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,896.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,3579.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,888.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_RD,3001.000000
seq-perfmon,BaseStrainMapping applyJT,CAS_COUNT_WR,852.000000
seq-perfmon,BaseStrainMapping apply,INSTR_RETIRED_ANY,46255090.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_CORE,20386340.000000
seq-perfmon,BaseStrainMapping apply,CPU_CLK_UNHALTED_REF,20384370.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,624.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,164.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,528.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,125.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,442.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,141.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_RD,402.000000
seq-perfmon,BaseStrainMapping apply,CAS_COUNT_WR,167.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,INSTR_RETIRED_ANY,7347174.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_CORE,26102540.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPU_CLK_UNHALTED_REF,26092170.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,1366.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,525.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,1247.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,494.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,1441.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,519.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_RD,1178.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,CAS_COUNT_WR,425.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,INSTR_RETIRED_ANY,46138980.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_CORE,165701200.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CPU_CLK_UNHALTED_REF,165651800.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CAS_COUNT_RD,2727.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CAS_COUNT_WR,564.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CAS_COUNT_RD,2161.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CAS_COUNT_WR,506.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CAS_COUNT_RD,2734.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CAS_COUNT_WR,572.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CAS_COUNT_RD,2104.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,CAS_COUNT_WR,507.000000
seq-perfmon,BaseDeformationMapping applyJ else,INSTR_RETIRED_ANY,41273930.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_CORE,145543600.000000
seq-perfmon,BaseDeformationMapping applyJ else,CPU_CLK_UNHALTED_REF,145860600.000000
seq-perfmon,BaseDeformationMapping applyJ else,CAS_COUNT_RD,1733.000000
seq-perfmon,BaseDeformationMapping applyJ else,CAS_COUNT_WR,364.000000
seq-perfmon,BaseDeformationMapping applyJ else,CAS_COUNT_RD,1713.000000
seq-perfmon,BaseDeformationMapping applyJ else,CAS_COUNT_WR,358.000000
seq-perfmon,BaseDeformationMapping applyJ else,CAS_COUNT_RD,2164.000000
seq-perfmon,BaseDeformationMapping applyJ else,CAS_COUNT_WR,410.000000
