Config,Expe,Metric,core 0
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.150841
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.203913
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2992.141092
seq-perfmon,BaseStrainMapping applyJ,CPI,0.443238
seq-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],14.595945
seq-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],2.942440
seq-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],17.538385
seq-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.002646
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.418595
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.529609
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2992.354733
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.550051
seq-perfmon,BaseDeformationMapping applyJ,Memory Read BW [MBytes/s],44.491123
seq-perfmon,BaseDeformationMapping applyJ,Memory Write BW [MBytes/s],10.675417
seq-perfmon,BaseDeformationMapping applyJ,Memory BW [MBytes/s],55.166541
seq-perfmon,BaseDeformationMapping applyJ,Memory data volume [GBytes],0.023092
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.097563
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.153479
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2991.852382
seq-perfmon,BaseStrainMapping applyJT,CPI,0.529294
seq-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],13.254214
seq-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],3.275342
seq-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],16.529557
seq-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.001613
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.005337
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.006819
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2993.252228
seq-perfmon,BaseStrainMapping apply,CPI,0.441181
seq-perfmon,BaseStrainMapping apply,Memory Read BW [MBytes/s],27.807933
seq-perfmon,BaseStrainMapping apply,Memory Write BW [MBytes/s],8.010220
seq-perfmon,BaseStrainMapping apply,Memory BW [MBytes/s],35.818153
seq-perfmon,BaseStrainMapping apply,Memory data volume [GBytes],0.000191
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000105
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.008809
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],2995.841896
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.588431
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Read BW [MBytes/s],2106.717353
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Write BW [MBytes/s],821.345376
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory BW [MBytes/s],2928.062729
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory data volume [GBytes],0.000307
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000371
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.054993
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],2987.629072
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.584926
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory Read BW [MBytes/s],1556.045926
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory Write BW [MBytes/s],529.772782
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory BW [MBytes/s],2085.818708
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory data volume [GBytes],0.000774
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000334
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.048976
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],2990.004059
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.571138
seq-perfmon,BaseDeformationMapping applyJ else,Memory Read BW [MBytes/s],1005.645248
seq-perfmon,BaseDeformationMapping applyJ else,Memory Write BW [MBytes/s],231.275395
seq-perfmon,BaseDeformationMapping applyJ else,Memory BW [MBytes/s],1236.920643
seq-perfmon,BaseDeformationMapping applyJ else,Memory data volume [GBytes],0.000413
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.302140
seq-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.415101
seq-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],2992.474313
seq-perfmon,BaseDeformationMapping applyJT vec,CPI,0.906795
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Read BW [MBytes/s],18.860642
seq-perfmon,BaseDeformationMapping applyJT vec,Memory Write BW [MBytes/s],4.426235
seq-perfmon,BaseDeformationMapping applyJT vec,Memory BW [MBytes/s],23.286877
seq-perfmon,BaseDeformationMapping applyJT vec,Memory data volume [GBytes],0.007036
seq-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.064945
seq-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.091459
seq-perfmon,BaseStrainMapping applyDJT,Clock [MHz],2992.673066
seq-perfmon,BaseStrainMapping applyDJT,CPI,0.451718
seq-perfmon,BaseStrainMapping applyDJT,Memory Read BW [MBytes/s],20.728768
seq-perfmon,BaseStrainMapping applyDJT,Memory Write BW [MBytes/s],3.336706
seq-perfmon,BaseStrainMapping applyDJT,Memory BW [MBytes/s],24.065474
seq-perfmon,BaseStrainMapping applyDJT,Memory data volume [GBytes],0.001563
seq-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.058479
seq-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.073876
seq-perfmon,BaseDeformationMapping apply,Clock [MHz],2992.299908
seq-perfmon,BaseDeformationMapping apply,CPI,0.654910
seq-perfmon,BaseDeformationMapping apply,Memory Read BW [MBytes/s],452.550479
seq-perfmon,BaseDeformationMapping apply,Memory Write BW [MBytes/s],124.345744
seq-perfmon,BaseDeformationMapping apply,Memory BW [MBytes/s],576.896223
seq-perfmon,BaseDeformationMapping apply,Memory data volume [GBytes],0.033736
seq-perfmon,Simu,Runtime (RDTSC) [s],7.503898
seq-perfmon,Simu,Runtime unhalted [s],2.837386
seq-perfmon,Simu,Clock [MHz],2992.873218
seq-perfmon,Simu,CPI,0.775990
seq-perfmon,Simu,Memory Read BW [MBytes/s],9.642587
seq-perfmon,Simu,Memory Write BW [MBytes/s],2.256423
seq-perfmon,Simu,Memory BW [MBytes/s],11.899010
seq-perfmon,Simu,Memory data volume [GBytes],0.089289
seq-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.150841
seq-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.203913
seq-perfmon,BaseStrainMapping applyJ,Clock [MHz],2992.141092
seq-perfmon,BaseStrainMapping applyJ,CPI,0.443238
seq-perfmon,BaseStrainMapping applyJ,Memory Read BW [MBytes/s],14.595945
seq-perfmon,BaseStrainMapping applyJ,Memory Write BW [MBytes/s],2.942440
seq-perfmon,BaseStrainMapping applyJ,Memory BW [MBytes/s],17.538385
seq-perfmon,BaseStrainMapping applyJ,Memory data volume [GBytes],0.002646
seq-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.418595
seq-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.529609
seq-perfmon,BaseDeformationMapping applyJ,Clock [MHz],2992.354733
seq-perfmon,BaseDeformationMapping applyJ,CPI,0.550051
seq-perfmon,BaseDeformationMapping applyJ,Memory Read BW [MBytes/s],44.491123
seq-perfmon,BaseDeformationMapping applyJ,Memory Write BW [MBytes/s],10.675417
seq-perfmon,BaseDeformationMapping applyJ,Memory BW [MBytes/s],55.166541
seq-perfmon,BaseDeformationMapping applyJ,Memory data volume [GBytes],0.023092
seq-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.097563
seq-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.153479
seq-perfmon,BaseStrainMapping applyJT,Clock [MHz],2991.852382
seq-perfmon,BaseStrainMapping applyJT,CPI,0.529294
seq-perfmon,BaseStrainMapping applyJT,Memory Read BW [MBytes/s],13.254214
seq-perfmon,BaseStrainMapping applyJT,Memory Write BW [MBytes/s],3.275342
seq-perfmon,BaseStrainMapping applyJT,Memory BW [MBytes/s],16.529557
seq-perfmon,BaseStrainMapping applyJT,Memory data volume [GBytes],0.001613
seq-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.005337
seq-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.006819
seq-perfmon,BaseStrainMapping apply,Clock [MHz],2993.252228
seq-perfmon,BaseStrainMapping apply,CPI,0.441181
seq-perfmon,BaseStrainMapping apply,Memory Read BW [MBytes/s],27.807933
seq-perfmon,BaseStrainMapping apply,Memory Write BW [MBytes/s],8.010220
seq-perfmon,BaseStrainMapping apply,Memory BW [MBytes/s],35.818153
seq-perfmon,BaseStrainMapping apply,Memory data volume [GBytes],0.000191
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000105
seq-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.008809
seq-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],2995.841896
seq-perfmon,BaseDeformationMapping applyJT seqMat,CPI,3.588431
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Read BW [MBytes/s],2106.717353
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory Write BW [MBytes/s],821.345376
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory BW [MBytes/s],2928.062729
seq-perfmon,BaseDeformationMapping applyJT seqMat,Memory data volume [GBytes],0.000307
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000371
seq-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.054993
seq-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],2987.629072
seq-perfmon,BaseDeformationMapping applyJT vec else,CPI,3.584926
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory Read BW [MBytes/s],1556.045926
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory Write BW [MBytes/s],529.772782
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory BW [MBytes/s],2085.818708
seq-perfmon,BaseDeformationMapping applyJT vec else,Memory data volume [GBytes],0.000774
seq-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000334
seq-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.048976
seq-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],2990.004059
seq-perfmon,BaseDeformationMapping applyJ else,CPI,3.571138
seq-perfmon,BaseDeformationMapping applyJ else,Memory Read BW [MBytes/s],1005.645248
seq-perfmon,BaseDeformationMapping applyJ else,Memory Write BW [MBytes/s],231.275395
