Config,Expe,Region Info,core 0
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.149464
seq-perfmon,BaseStrainMapping applyJ,call count,3567.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.413420
seq-perfmon,BaseDeformationMapping applyJ,call count,7344.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.096643
seq-perfmon,BaseStrainMapping applyJT,call count,3761.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005311
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000110
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000402
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3761.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000349
seq-perfmon,BaseDeformationMapping applyJ else,call count,3357.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.307586
seq-perfmon,BaseDeformationMapping applyJT vec,call count,7522.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.063875
seq-perfmon,BaseStrainMapping applyDJT,call count,1779.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.058537
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],7.408312
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.149464
seq-perfmon,BaseStrainMapping applyJ,call count,3567.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.413420
seq-perfmon,BaseDeformationMapping applyJ,call count,7344.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.096643
seq-perfmon,BaseStrainMapping applyJT,call count,3761.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005311
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000110
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000402
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3761.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000349
seq-perfmon,BaseDeformationMapping applyJ else,call count,3357.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.307586
seq-perfmon,BaseDeformationMapping applyJT vec,call count,7522.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.063875
seq-perfmon,BaseStrainMapping applyDJT,call count,1779.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.058537
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],7.408312
seq-perfmon,Simu,call count,1.000000
seq-perfmon,BaseStrainMapping applyJ,RDTSC Runtime [s],0.149464
seq-perfmon,BaseStrainMapping applyJ,call count,3567.000000
seq-perfmon,BaseDeformationMapping applyJ,RDTSC Runtime [s],0.413420
seq-perfmon,BaseDeformationMapping applyJ,call count,7344.000000
seq-perfmon,BaseStrainMapping applyJT,RDTSC Runtime [s],0.096643
seq-perfmon,BaseStrainMapping applyJT,call count,3761.000000
seq-perfmon,BaseStrainMapping apply,RDTSC Runtime [s],0.005311
seq-perfmon,BaseStrainMapping apply,call count,105.000000
seq-perfmon,BaseDeformationMapping applyJT seqMat,RDTSC Runtime [s],0.000110
seq-perfmon,BaseDeformationMapping applyJT seqMat,call count,606.000000
seq-perfmon,BaseDeformationMapping applyJT vec else,RDTSC Runtime [s],0.000402
seq-perfmon,BaseDeformationMapping applyJT vec else,call count,3761.000000
seq-perfmon,BaseDeformationMapping applyJ else,RDTSC Runtime [s],0.000349
seq-perfmon,BaseDeformationMapping applyJ else,call count,3357.000000
seq-perfmon,BaseDeformationMapping applyJT vec,RDTSC Runtime [s],0.307586
seq-perfmon,BaseDeformationMapping applyJT vec,call count,7522.000000
seq-perfmon,BaseStrainMapping applyDJT,RDTSC Runtime [s],0.063875
seq-perfmon,BaseStrainMapping applyDJT,call count,1779.000000
seq-perfmon,BaseDeformationMapping apply,RDTSC Runtime [s],0.058537
seq-perfmon,BaseDeformationMapping apply,call count,1040.000000
seq-perfmon,Simu,RDTSC Runtime [s],7.408312
seq-perfmon,Simu,call count,1.000000
