Config,Expe,Event,core 0
seq,Full,Simulation time [s],1.34801
seq,Full,Througput [FPS],74.1835
seq,Full,INSTR_RETIRED_ANY,15109977350.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9050375303.000000
seq,Full,CPU_CLK_UNHALTED_REF,9050631120.000000
seq,Full,CAS_COUNT_RD,3969888.000000
seq,Full,CAS_COUNT_WR,1895073.000000
seq,Full,CAS_COUNT_RD,3942996.000000
seq,Full,CAS_COUNT_WR,1889367.000000
seq,Full,CAS_COUNT_RD,3970405.000000
seq,Full,CAS_COUNT_WR,1896169.000000
seq,Full,CAS_COUNT_RD,3942711.000000
seq,Full,CAS_COUNT_WR,1890181.000000
seq,Full,INSTR_RETIRED_ANY,15109977350.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9050375303.000000
seq,Full,CPU_CLK_UNHALTED_REF,9050631120.000000
seq,Full,CAS_COUNT_RD,3969888.000000
seq,Full,CAS_COUNT_WR,1895073.000000
seq,Full,CAS_COUNT_RD,3942996.000000
seq,Full,CAS_COUNT_WR,1889367.000000
seq,Full,CAS_COUNT_RD,3970405.000000
seq,Full,CAS_COUNT_WR,1896169.000000
seq,Full,CAS_COUNT_RD,3942711.000000
seq,Full,CAS_COUNT_WR,1890181.000000
seq,Full,INSTR_RETIRED_ANY,15109977350.000000
seq,Full,CPU_CLK_UNHALTED_CORE,9050375303.000000
seq,Full,CPU_CLK_UNHALTED_REF,9050631120.000000
seq,Full,CAS_COUNT_RD,3969888.000000
seq,Full,CAS_COUNT_WR,1895073.000000
seq,Full,CAS_COUNT_RD,3942996.000000
seq,Full,CAS_COUNT_WR,1889367.000000
seq,Full,CAS_COUNT_RD,3970405.000000
seq,Full,CAS_COUNT_WR,1896169.000000
seq,Full,CAS_COUNT_RD,3942711.000000
seq,Full,CAS_COUNT_WR,1890181.000000
