Config,Expe,Metric,core 0
seq,Full,Simulation time [s],1.34912
seq,Full,Througput [FPS],74.1224
seq,Full,Runtime (RDTSC) [s],4.576782
seq,Full,Runtime unhalted [s],3.021423
seq,Full,Clock [MHz],2992.734405
seq,Full,CPI,0.597930
seq,Full,Memory Read BW [MBytes/s],221.466895
seq,Full,Memory Write BW [MBytes/s],106.151714
seq,Full,Memory BW [MBytes/s],327.618609
seq,Full,Memory data volume [GBytes],1.499439
seq,Full,Runtime (RDTSC) [s],4.576782
seq,Full,Runtime unhalted [s],3.021423
seq,Full,Clock [MHz],2992.734405
seq,Full,CPI,0.597930
seq,Full,Memory Read BW [MBytes/s],221.466895
seq,Full,Memory Write BW [MBytes/s],106.151714
seq,Full,Memory BW [MBytes/s],327.618609
seq,Full,Memory data volume [GBytes],1.499439
seq,Full,Runtime (RDTSC) [s],4.576782
seq,Full,Runtime unhalted [s],3.021423
seq,Full,Clock [MHz],2992.734405
seq,Full,CPI,0.597930
seq,Full,Memory Read BW [MBytes/s],221.466895
seq,Full,Memory Write BW [MBytes/s],106.151714
seq,Full,Memory BW [MBytes/s],327.618609
seq,Full,Memory data volume [GBytes],1.499439
