Function,Scene,Metric,Type,Level,Run,Value
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,5489.353060
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,14351.754959
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,5489.353060
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,14351.754959
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,5489.353060
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,10,14351.754959
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,5702.561307
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,14623.355679
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,5702.561307
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,14623.355679
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,5702.561307
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,11,14623.355679
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,5685.705828
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,15675.252742
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,5685.705828
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,15675.252742
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,5685.705828
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,12,15675.252742
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,6119.239278
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,15022.644500
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,6119.239278
BaseStrainMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,15022.644500
BaseDeformationMultiMapping applyDJT,linearRigidandAffineFrame,Bandwidth (MBytes/s),openmp,L2,13,6119.239278
